Year,SEX,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2009,_T,Gaza Strip,2009,IC_GEN_MGTL,PT,17.5
2010,_T,Gaza Strip,2010,IC_GEN_MGTL,PT,8.8
2011,_T,Gaza Strip,2011,IC_GEN_MGTL,PT,14.2
2012,_T,Gaza Strip,2012,IC_GEN_MGTL,PT,27.5
2013,_T,Gaza Strip,2013,IC_GEN_MGTL,PT,21.4
2014,_T,Gaza Strip,2014,IC_GEN_MGTL,PT,18.2
2015,_T,Gaza Strip,2015,IC_GEN_MGTL,PT,22.4
2016,_T,Gaza Strip,2016,IC_GEN_MGTL,PT,20.3
2017,_T,Gaza Strip,2017,IC_GEN_MGTL,PT,19.6
2018,_T,Gaza Strip,2018,IC_GEN_MGTL,PT,30.8
2019,_T,Gaza Strip,2019,IC_GEN_MGTL,PT,38.9
2000,_T,PS,2000,IC_GEN_MGTL,PT,23.1
2001,_T,PS,2001,IC_GEN_MGTL,PT,23.0
2002,_T,PS,2002,IC_GEN_MGTL,PT,19.7
2003,_T,PS,2003,IC_GEN_MGTL,PT,23.7
2004,_T,PS,2004,IC_GEN_MGTL,PT,20.1
2005,_T,PS,2005,IC_GEN_MGTL,PT,22.0
2006,_T,PS,2006,IC_GEN_MGTL,PT,21.1
2007,_T,PS,2007,IC_GEN_MGTL,PT,18.4
2008,_T,PS,2008,IC_GEN_MGTL,PT,19.0
2009,_T,PS,2009,IC_GEN_MGTL,PT,23.0
2010,_T,PS,2010,IC_GEN_MGTL,PT,21.7
2011,_T,PS,2011,IC_GEN_MGTL,PT,22.8
2012,_T,PS,2012,IC_GEN_MGTL,PT,15.4
2013,_T,PS,2013,IC_GEN_MGTL,PT,16.2
2014,_T,PS,2014,IC_GEN_MGTL,PT,16.6
2015,_T,PS,2015,IC_GEN_MGTL,PT,16.3
2016,_T,PS,2016,IC_GEN_MGTL,PT,19.4
2017,_T,PS,2017,IC_GEN_MGTL,PT,15.7
2018,_T,PS,2018,IC_GEN_MGTL,PT,17.4
2019,_T,PS,2019,IC_GEN_MGTL,PT,20.2
