Year,SEX,REF_AREA,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2012,M,Gaza Strip,2012,NUMBER,SL_TLF_MANF,
2013,M,Gaza Strip,2013,NUMBER,SL_TLF_MANF,
2014,M,Gaza Strip,2014,NUMBER,SL_TLF_MANF,
2015,M,Gaza Strip,2015,NUMBER,SL_TLF_MANF,
2016,M,Gaza Strip,2016,NUMBER,SL_TLF_MANF,
2017,M,Gaza Strip,2017,NUMBER,SL_TLF_MANF,
2000,M,PS,2000,NUMBER,SL_TLF_MANF,14.4
2001,M,PS,2001,NUMBER,SL_TLF_MANF,14.3
2002,M,PS,2002,NUMBER,SL_TLF_MANF,13.2
2003,M,PS,2003,NUMBER,SL_TLF_MANF,12.7
2004,M,PS,2004,NUMBER,SL_TLF_MANF,13.0
2005,M,PS,2005,NUMBER,SL_TLF_MANF,13.3
2006,M,PS,2006,NUMBER,SL_TLF_MANF,12.5
2007,M,PS,2007,NUMBER,SL_TLF_MANF,12.3
2008,M,PS,2008,NUMBER,SL_TLF_MANF,12.7
2009,M,PS,2009,NUMBER,SL_TLF_MANF,12.4
2010,M,PS,2010,NUMBER,SL_TLF_MANF,11.8
2011,M,PS,2011,NUMBER,SL_TLF_MANF,12.0
2012,M,PS,2012,NUMBER,SL_TLF_MANF,12.3
2013,M,PS,2013,NUMBER,SL_TLF_MANF,11.9
2014,M,PS,2014,NUMBER,SL_TLF_MANF,12.3
2015,M,PS,2015,NUMBER,SL_TLF_MANF,12.4
2016,M,PS,2016,NUMBER,SL_TLF_MANF,12.8
2017,M,PS,2017,NUMBER,SL_TLF_MANF,12.7
2000,F,West Bank,2000,NUMBER,SL_TLF_MANF,
2001,F,West Bank,2001,NUMBER,SL_TLF_MANF,
2002,F,West Bank,2002,NUMBER,SL_TLF_MANF,
2003,F,West Bank,2003,NUMBER,SL_TLF_MANF,
2004,F,West Bank,2004,NUMBER,SL_TLF_MANF,
2005,F,West Bank,2005,NUMBER,SL_TLF_MANF,
2006,F,West Bank,2006,NUMBER,SL_TLF_MANF,
2007,F,West Bank,2007,NUMBER,SL_TLF_MANF,
2008,F,West Bank,2008,NUMBER,SL_TLF_MANF,
2009,F,West Bank,2009,NUMBER,SL_TLF_MANF,
2010,F,West Bank,2010,NUMBER,SL_TLF_MANF,
2011,F,West Bank,2011,NUMBER,SL_TLF_MANF,
2012,F,West Bank,2012,NUMBER,SL_TLF_MANF,
2013,F,West Bank,2013,NUMBER,SL_TLF_MANF,
2014,F,West Bank,2014,NUMBER,SL_TLF_MANF,
2015,F,West Bank,2015,NUMBER,SL_TLF_MANF,
2016,F,West Bank,2016,NUMBER,SL_TLF_MANF,
2017,F,West Bank,2017,NUMBER,SL_TLF_MANF,
2000,F,Gaza Strip,2000,NUMBER,SL_TLF_MANF,
2001,F,Gaza Strip,2001,NUMBER,SL_TLF_MANF,
2002,F,Gaza Strip,2002,NUMBER,SL_TLF_MANF,
2003,F,Gaza Strip,2003,NUMBER,SL_TLF_MANF,
2004,F,Gaza Strip,2004,NUMBER,SL_TLF_MANF,
2005,F,Gaza Strip,2005,NUMBER,SL_TLF_MANF,
2006,F,Gaza Strip,2006,NUMBER,SL_TLF_MANF,
2007,F,Gaza Strip,2007,NUMBER,SL_TLF_MANF,
2008,F,Gaza Strip,2008,NUMBER,SL_TLF_MANF,
2009,F,Gaza Strip,2009,NUMBER,SL_TLF_MANF,
2010,F,Gaza Strip,2010,NUMBER,SL_TLF_MANF,
2011,F,Gaza Strip,2011,NUMBER,SL_TLF_MANF,
2012,F,Gaza Strip,2012,NUMBER,SL_TLF_MANF,
2013,F,Gaza Strip,2013,NUMBER,SL_TLF_MANF,
2014,F,Gaza Strip,2014,NUMBER,SL_TLF_MANF,
2015,F,Gaza Strip,2015,NUMBER,SL_TLF_MANF,
2016,F,Gaza Strip,2016,NUMBER,SL_TLF_MANF,
2017,F,Gaza Strip,2017,NUMBER,SL_TLF_MANF,
2000,F,PS,2000,NUMBER,SL_TLF_MANF,11.0
2001,F,PS,2001,NUMBER,SL_TLF_MANF,9.6
2002,F,PS,2002,NUMBER,SL_TLF_MANF,8.1
2003,F,PS,2003,NUMBER,SL_TLF_MANF,6.6
2004,F,PS,2004,NUMBER,SL_TLF_MANF,7.6
2005,F,PS,2005,NUMBER,SL_TLF_MANF,7.5
2006,F,PS,2006,NUMBER,SL_TLF_MANF,7.6
2007,F,PS,2007,NUMBER,SL_TLF_MANF,7.2
2008,F,PS,2008,NUMBER,SL_TLF_MANF,8.8
2009,F,PS,2009,NUMBER,SL_TLF_MANF,8.96
2010,F,PS,2010,NUMBER,SL_TLF_MANF,7.4
2011,F,PS,2011,NUMBER,SL_TLF_MANF,8.5
2012,F,PS,2012,NUMBER,SL_TLF_MANF,8.4
2013,F,PS,2013,NUMBER,SL_TLF_MANF,9.7
2014,F,PS,2014,NUMBER,SL_TLF_MANF,9.7
2015,F,PS,2015,NUMBER,SL_TLF_MANF,10.8
2016,F,PS,2016,NUMBER,SL_TLF_MANF,10.9
2017,F,PS,2017,NUMBER,SL_TLF_MANF,10.7
2000,_T,West Bank,2000,NUMBER,SL_TLF_MANF,14.9
2001,_T,West Bank,2001,NUMBER,SL_TLF_MANF,14.9
2002,_T,West Bank,2002,NUMBER,SL_TLF_MANF,13.8
2003,_T,West Bank,2003,NUMBER,SL_TLF_MANF,13.0
2004,_T,West Bank,2004,NUMBER,SL_TLF_MANF,13.3
2005,_T,West Bank,2005,NUMBER,SL_TLF_MANF,14.2
2006,_T,West Bank,2006,NUMBER,SL_TLF_MANF,13.7
2007,_T,West Bank,2007,NUMBER,SL_TLF_MANF,13.5
2008,_T,West Bank,2008,NUMBER,SL_TLF_MANF,14.8
2009,_T,West Bank,2009,NUMBER,SL_TLF_MANF,14.1
2010,_T,West Bank,2010,NUMBER,SL_TLF_MANF,13.3
2011,_T,West Bank,2011,NUMBER,SL_TLF_MANF,13.9
2012,_T,West Bank,2012,NUMBER,SL_TLF_MANF,14.4
2013,_T,West Bank,2013,NUMBER,SL_TLF_MANF,14.4
2014,_T,West Bank,2014,NUMBER,SL_TLF_MANF,14.5
2015,_T,West Bank,2015,NUMBER,SL_TLF_MANF,14.9
2016,_T,West Bank,2016,NUMBER,SL_TLF_MANF,15.3
2017,_T,West Bank,2017,NUMBER,SL_TLF_MANF,15.0
2000,_T,Gaza Strip,2000,NUMBER,SL_TLF_MANF,11.4
2001,_T,Gaza Strip,2001,NUMBER,SL_TLF_MANF,9.6
2002,_T,Gaza Strip,2002,NUMBER,SL_TLF_MANF,8.8
2003,_T,Gaza Strip,2003,NUMBER,SL_TLF_MANF,8.6
2004,_T,Gaza Strip,2004,NUMBER,SL_TLF_MANF,8.8
2005,_T,Gaza Strip,2005,NUMBER,SL_TLF_MANF,7.9
2006,_T,Gaza Strip,2006,NUMBER,SL_TLF_MANF,5.9
2007,_T,Gaza Strip,2007,NUMBER,SL_TLF_MANF,5.8
2008,_T,Gaza Strip,2008,NUMBER,SL_TLF_MANF,4.3
2009,_T,Gaza Strip,2009,NUMBER,SL_TLF_MANF,5.3
2010,_T,Gaza Strip,2010,NUMBER,SL_TLF_MANF,4.8
2011,_T,Gaza Strip,2011,NUMBER,SL_TLF_MANF,5.5
2012,_T,Gaza Strip,2012,NUMBER,SL_TLF_MANF,5.3
2013,_T,Gaza Strip,2013,NUMBER,SL_TLF_MANF,5.3
2014,_T,Gaza Strip,2014,NUMBER,SL_TLF_MANF,4.9
2015,_T,Gaza Strip,2015,NUMBER,SL_TLF_MANF,5.8
2016,_T,Gaza Strip,2016,NUMBER,SL_TLF_MANF,6.3
2017,_T,Gaza Strip,2017,NUMBER,SL_TLF_MANF,6.0
2000,_T,PS,2000,NUMBER,SL_TLF_MANF,13.9
2001,_T,PS,2001,NUMBER,SL_TLF_MANF,13.5
2002,_T,PS,2002,NUMBER,SL_TLF_MANF,12.4
2003,_T,PS,2003,NUMBER,SL_TLF_MANF,11.6
2004,_T,PS,2004,NUMBER,SL_TLF_MANF,12.0
2005,_T,PS,2005,NUMBER,SL_TLF_MANF,12.4
2006,_T,PS,2006,NUMBER,SL_TLF_MANF,11.6
2007,_T,PS,2007,NUMBER,SL_TLF_MANF,11.3
2008,_T,PS,2008,NUMBER,SL_TLF_MANF,12.0
2009,_T,PS,2009,NUMBER,SL_TLF_MANF,11.7
2010,_T,PS,2010,NUMBER,SL_TLF_MANF,11.0
2011,_T,PS,2011,NUMBER,SL_TLF_MANF,11.4
2012,_T,PS,2012,NUMBER,SL_TLF_MANF,11.6
2013,_T,PS,2013,NUMBER,SL_TLF_MANF,11.5
2014,_T,PS,2014,NUMBER,SL_TLF_MANF,11.8
2015,_T,PS,2015,NUMBER,SL_TLF_MANF,12.2
2016,_T,PS,2016,NUMBER,SL_TLF_MANF,12.5
2017,_T,PS,2017,NUMBER,SL_TLF_MANF,12.4
