Year,URBANISATION,REF_AREA,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2015,_T,PS,2015,NUMBER,SH_SAN_DEFECT,99.2
2017,_T,PS,2017,NUMBER,SH_SAN_DEFECT,99.7
0,_T,Jenin,0,NUMBER,SH_SAN_DEFECT,
2000,_T,Jenin,2000,NUMBER,SH_SAN_DEFECT,
2002,_T,Jenin,2002,NUMBER,SH_SAN_DEFECT,
2003,_T,Jenin,2003,NUMBER,SH_SAN_DEFECT,
2004,_T,Jenin,2004,NUMBER,SH_SAN_DEFECT,
2005,_T,Jenin,2005,NUMBER,SH_SAN_DEFECT,
2006,_T,Jenin,2006,NUMBER,SH_SAN_DEFECT,
2007,_T,Jenin,2007,NUMBER,SH_SAN_DEFECT,99.8
2008,_T,Jenin,2008,NUMBER,SH_SAN_DEFECT,
2009,_T,Jenin,2009,NUMBER,SH_SAN_DEFECT,
2010,_T,Jenin,2010,NUMBER,SH_SAN_DEFECT,85.8
2011,_T,Jenin,2011,NUMBER,SH_SAN_DEFECT,
2012,_T,Jenin,2012,NUMBER,SH_SAN_DEFECT,
2013,_T,Jenin,2013,NUMBER,SH_SAN_DEFECT,
2014,_T,Jenin,2014,NUMBER,SH_SAN_DEFECT,98.4
2015,_T,Jenin,2015,NUMBER,SH_SAN_DEFECT,
2017,_T,Jenin,2017,NUMBER,SH_SAN_DEFECT,99.9
0,_T,Tubas & Northern Valleys,0,NUMBER,SH_SAN_DEFECT,
2000,_T,Tubas & Northern Valleys,2000,NUMBER,SH_SAN_DEFECT,
2002,_T,Tubas & Northern Valleys,2002,NUMBER,SH_SAN_DEFECT,
2003,_T,Tubas & Northern Valleys,2003,NUMBER,SH_SAN_DEFECT,
2004,_T,Tubas & Northern Valleys,2004,NUMBER,SH_SAN_DEFECT,
2005,_T,Tubas & Northern Valleys,2005,NUMBER,SH_SAN_DEFECT,
2006,_T,Tubas & Northern Valleys,2006,NUMBER,SH_SAN_DEFECT,
2007,_T,Tubas & Northern Valleys,2007,NUMBER,SH_SAN_DEFECT,96.9
2008,_T,Tubas & Northern Valleys,2008,NUMBER,SH_SAN_DEFECT,
2009,_T,Tubas & Northern Valleys,2009,NUMBER,SH_SAN_DEFECT,
2010,_T,Tubas & Northern Valleys,2010,NUMBER,SH_SAN_DEFECT,78.4
2011,_T,Tubas & Northern Valleys,2011,NUMBER,SH_SAN_DEFECT,
2012,_T,Tubas & Northern Valleys,2012,NUMBER,SH_SAN_DEFECT,
2013,_T,Tubas & Northern Valleys,2013,NUMBER,SH_SAN_DEFECT,
2014,_T,Tubas & Northern Valleys,2014,NUMBER,SH_SAN_DEFECT,100.0
2015,_T,Tubas & Northern Valleys,2015,NUMBER,SH_SAN_DEFECT,
2017,_T,Tubas & Northern Valleys,2017,NUMBER,SH_SAN_DEFECT,99.2
0,_T,Tulkarm,0,NUMBER,SH_SAN_DEFECT,
2000,_T,Tulkarm,2000,NUMBER,SH_SAN_DEFECT,
2002,_T,Tulkarm,2002,NUMBER,SH_SAN_DEFECT,
2003,_T,Tulkarm,2003,NUMBER,SH_SAN_DEFECT,
2004,_T,Tulkarm,2004,NUMBER,SH_SAN_DEFECT,
2005,_T,Tulkarm,2005,NUMBER,SH_SAN_DEFECT,
2006,_T,Tulkarm,2006,NUMBER,SH_SAN_DEFECT,
2007,_T,Tulkarm,2007,NUMBER,SH_SAN_DEFECT,99.7
2008,_T,Tulkarm,2008,NUMBER,SH_SAN_DEFECT,
2009,_T,Tulkarm,2009,NUMBER,SH_SAN_DEFECT,
2010,_T,Tulkarm,2010,NUMBER,SH_SAN_DEFECT,98.2
2011,_T,Tulkarm,2011,NUMBER,SH_SAN_DEFECT,
2012,_T,Tulkarm,2012,NUMBER,SH_SAN_DEFECT,
2013,_T,Tulkarm,2013,NUMBER,SH_SAN_DEFECT,
2014,_T,Tulkarm,2014,NUMBER,SH_SAN_DEFECT,99.4
2015,_T,Tulkarm,2015,NUMBER,SH_SAN_DEFECT,
2017,_T,Tulkarm,2017,NUMBER,SH_SAN_DEFECT,99.9
0,_T,Nablus,0,NUMBER,SH_SAN_DEFECT,
2000,_T,Nablus,2000,NUMBER,SH_SAN_DEFECT,
2002,_T,Nablus,2002,NUMBER,SH_SAN_DEFECT,
2003,_T,Nablus,2003,NUMBER,SH_SAN_DEFECT,
2004,_T,Nablus,2004,NUMBER,SH_SAN_DEFECT,
2005,_T,Nablus,2005,NUMBER,SH_SAN_DEFECT,
2006,_T,Nablus,2006,NUMBER,SH_SAN_DEFECT,
2007,_T,Nablus,2007,NUMBER,SH_SAN_DEFECT,99.6
2008,_T,Nablus,2008,NUMBER,SH_SAN_DEFECT,
2009,_T,Nablus,2009,NUMBER,SH_SAN_DEFECT,
2010,_T,Nablus,2010,NUMBER,SH_SAN_DEFECT,97.3
2011,_T,Nablus,2011,NUMBER,SH_SAN_DEFECT,
2012,_T,Nablus,2012,NUMBER,SH_SAN_DEFECT,
2013,_T,Nablus,2013,NUMBER,SH_SAN_DEFECT,
2014,_T,Nablus,2014,NUMBER,SH_SAN_DEFECT,99.7
2015,_T,Nablus,2015,NUMBER,SH_SAN_DEFECT,
2017,_T,Nablus,2017,NUMBER,SH_SAN_DEFECT,99.9
0,_T,Qalqiliya,0,NUMBER,SH_SAN_DEFECT,
2000,_T,Qalqiliya,2000,NUMBER,SH_SAN_DEFECT,
2002,_T,Qalqiliya,2002,NUMBER,SH_SAN_DEFECT,
2003,_T,Qalqiliya,2003,NUMBER,SH_SAN_DEFECT,
2004,_T,Qalqiliya,2004,NUMBER,SH_SAN_DEFECT,
2005,_T,Qalqiliya,2005,NUMBER,SH_SAN_DEFECT,
2006,_T,Qalqiliya,2006,NUMBER,SH_SAN_DEFECT,
2007,_T,Qalqiliya,2007,NUMBER,SH_SAN_DEFECT,98.6
2008,_T,Qalqiliya,2008,NUMBER,SH_SAN_DEFECT,
2009,_T,Qalqiliya,2009,NUMBER,SH_SAN_DEFECT,
2010,_T,Qalqiliya,2010,NUMBER,SH_SAN_DEFECT,95.3
2011,_T,Qalqiliya,2011,NUMBER,SH_SAN_DEFECT,
2012,_T,Qalqiliya,2012,NUMBER,SH_SAN_DEFECT,
2013,_T,Qalqiliya,2013,NUMBER,SH_SAN_DEFECT,
2014,_T,Qalqiliya,2014,NUMBER,SH_SAN_DEFECT,100.0
2015,_T,Qalqiliya,2015,NUMBER,SH_SAN_DEFECT,
2017,_T,Qalqiliya,2017,NUMBER,SH_SAN_DEFECT,100.0
0,_T,Salfit,0,NUMBER,SH_SAN_DEFECT,
2000,_T,Salfit,2000,NUMBER,SH_SAN_DEFECT,
2002,_T,Salfit,2002,NUMBER,SH_SAN_DEFECT,
2003,_T,Salfit,2003,NUMBER,SH_SAN_DEFECT,
2004,_T,Salfit,2004,NUMBER,SH_SAN_DEFECT,
2005,_T,Salfit,2005,NUMBER,SH_SAN_DEFECT,
2006,_T,Salfit,2006,NUMBER,SH_SAN_DEFECT,
2007,_T,Salfit,2007,NUMBER,SH_SAN_DEFECT,99.5
2008,_T,Salfit,2008,NUMBER,SH_SAN_DEFECT,
2009,_T,Salfit,2009,NUMBER,SH_SAN_DEFECT,
2010,_T,Salfit,2010,NUMBER,SH_SAN_DEFECT,66.5
2011,_T,Salfit,2011,NUMBER,SH_SAN_DEFECT,
2012,_T,Salfit,2012,NUMBER,SH_SAN_DEFECT,
2013,_T,Salfit,2013,NUMBER,SH_SAN_DEFECT,
2014,_T,Salfit,2014,NUMBER,SH_SAN_DEFECT,100.0
2015,_T,Salfit,2015,NUMBER,SH_SAN_DEFECT,
2017,_T,Salfit,2017,NUMBER,SH_SAN_DEFECT,99.8
0,_T,Ramallah & Al-Bireh,0,NUMBER,SH_SAN_DEFECT,
2000,_T,Ramallah & Al-Bireh,2000,NUMBER,SH_SAN_DEFECT,
2002,_T,Ramallah & Al-Bireh,2002,NUMBER,SH_SAN_DEFECT,
2003,_T,Ramallah & Al-Bireh,2003,NUMBER,SH_SAN_DEFECT,
2004,_T,Ramallah & Al-Bireh,2004,NUMBER,SH_SAN_DEFECT,
2005,_T,Ramallah & Al-Bireh,2005,NUMBER,SH_SAN_DEFECT,
2006,_T,Ramallah & Al-Bireh,2006,NUMBER,SH_SAN_DEFECT,
2007,_T,Ramallah & Al-Bireh,2007,NUMBER,SH_SAN_DEFECT,98.7
2008,_T,Ramallah & Al-Bireh,2008,NUMBER,SH_SAN_DEFECT,
2009,_T,Ramallah & Al-Bireh,2009,NUMBER,SH_SAN_DEFECT,
2010,_T,Ramallah & Al-Bireh,2010,NUMBER,SH_SAN_DEFECT,80.1
2011,_T,Ramallah & Al-Bireh,2011,NUMBER,SH_SAN_DEFECT,
2012,_T,Ramallah & Al-Bireh,2012,NUMBER,SH_SAN_DEFECT,
2013,_T,Ramallah & Al-Bireh,2013,NUMBER,SH_SAN_DEFECT,
2014,_T,Ramallah & Al-Bireh,2014,NUMBER,SH_SAN_DEFECT,99.0
2015,_T,Ramallah & Al-Bireh,2015,NUMBER,SH_SAN_DEFECT,
2017,_T,Ramallah & Al-Bireh,2017,NUMBER,SH_SAN_DEFECT,99.4
0,_T,Jericho & AL Aghwar,0,NUMBER,SH_SAN_DEFECT,
2000,_T,Jericho & AL Aghwar,2000,NUMBER,SH_SAN_DEFECT,
2002,_T,Jericho & AL Aghwar,2002,NUMBER,SH_SAN_DEFECT,
2003,_T,Jericho & AL Aghwar,2003,NUMBER,SH_SAN_DEFECT,
2004,_T,Jericho & AL Aghwar,2004,NUMBER,SH_SAN_DEFECT,
2005,_T,Jericho & AL Aghwar,2005,NUMBER,SH_SAN_DEFECT,
2006,_T,Jericho & AL Aghwar,2006,NUMBER,SH_SAN_DEFECT,
2007,_T,Jericho & AL Aghwar,2007,NUMBER,SH_SAN_DEFECT,94.3
2008,_T,Jericho & AL Aghwar,2008,NUMBER,SH_SAN_DEFECT,
2009,_T,Jericho & AL Aghwar,2009,NUMBER,SH_SAN_DEFECT,
2010,_T,Jericho & AL Aghwar,2010,NUMBER,SH_SAN_DEFECT,95.5
2011,_T,Jericho & AL Aghwar,2011,NUMBER,SH_SAN_DEFECT,
2012,_T,Jericho & AL Aghwar,2012,NUMBER,SH_SAN_DEFECT,
2013,_T,Jericho & AL Aghwar,2013,NUMBER,SH_SAN_DEFECT,
2014,_T,Jericho & AL Aghwar,2014,NUMBER,SH_SAN_DEFECT,96.4
2015,_T,Jericho & AL Aghwar,2015,NUMBER,SH_SAN_DEFECT,
2017,_T,Jericho & AL Aghwar,2017,NUMBER,SH_SAN_DEFECT,98.8
0,_T,Jerusalem,0,NUMBER,SH_SAN_DEFECT,
2000,_T,Jerusalem,2000,NUMBER,SH_SAN_DEFECT,
2002,_T,Jerusalem,2002,NUMBER,SH_SAN_DEFECT,
2003,_T,Jerusalem,2003,NUMBER,SH_SAN_DEFECT,
2004,_T,Jerusalem,2004,NUMBER,SH_SAN_DEFECT,
2005,_T,Jerusalem,2005,NUMBER,SH_SAN_DEFECT,
2006,_T,Jerusalem,2006,NUMBER,SH_SAN_DEFECT,
2007,_T,Jerusalem,2007,NUMBER,SH_SAN_DEFECT,98.0
2008,_T,Jerusalem,2008,NUMBER,SH_SAN_DEFECT,
2009,_T,Jerusalem,2009,NUMBER,SH_SAN_DEFECT,
2010,_T,Jerusalem,2010,NUMBER,SH_SAN_DEFECT,88.3
2011,_T,Jerusalem,2011,NUMBER,SH_SAN_DEFECT,
2012,_T,Jerusalem,2012,NUMBER,SH_SAN_DEFECT,
2013,_T,Jerusalem,2013,NUMBER,SH_SAN_DEFECT,
2014,_T,Jerusalem,2014,NUMBER,SH_SAN_DEFECT,98.6
2015,_T,Jerusalem,2015,NUMBER,SH_SAN_DEFECT,
2017,_T,Jerusalem,2017,NUMBER,SH_SAN_DEFECT,98.5
0,_T,Bethlehem,0,NUMBER,SH_SAN_DEFECT,
2000,_T,Bethlehem,2000,NUMBER,SH_SAN_DEFECT,
2002,_T,Bethlehem,2002,NUMBER,SH_SAN_DEFECT,
2003,_T,Bethlehem,2003,NUMBER,SH_SAN_DEFECT,
2004,_T,Bethlehem,2004,NUMBER,SH_SAN_DEFECT,
2005,_T,Bethlehem,2005,NUMBER,SH_SAN_DEFECT,
2006,_T,Bethlehem,2006,NUMBER,SH_SAN_DEFECT,
2007,_T,Bethlehem,2007,NUMBER,SH_SAN_DEFECT,98.6
2008,_T,Bethlehem,2008,NUMBER,SH_SAN_DEFECT,
2009,_T,Bethlehem,2009,NUMBER,SH_SAN_DEFECT,
2010,_T,Bethlehem,2010,NUMBER,SH_SAN_DEFECT,90.9
2011,_T,Bethlehem,2011,NUMBER,SH_SAN_DEFECT,
2012,_T,Bethlehem,2012,NUMBER,SH_SAN_DEFECT,
2013,_T,Bethlehem,2013,NUMBER,SH_SAN_DEFECT,
2014,_T,Bethlehem,2014,NUMBER,SH_SAN_DEFECT,97.2
2015,_T,Bethlehem,2015,NUMBER,SH_SAN_DEFECT,
2017,_T,Bethlehem,2017,NUMBER,SH_SAN_DEFECT,98.7
0,_T,Hebron,0,NUMBER,SH_SAN_DEFECT,
2000,_T,Hebron,2000,NUMBER,SH_SAN_DEFECT,
2002,_T,Hebron,2002,NUMBER,SH_SAN_DEFECT,
2003,_T,Hebron,2003,NUMBER,SH_SAN_DEFECT,
2004,_T,Hebron,2004,NUMBER,SH_SAN_DEFECT,
2005,_T,Hebron,2005,NUMBER,SH_SAN_DEFECT,
2006,_T,Hebron,2006,NUMBER,SH_SAN_DEFECT,
2007,_T,Hebron,2007,NUMBER,SH_SAN_DEFECT,98.4
2008,_T,Hebron,2008,NUMBER,SH_SAN_DEFECT,
2009,_T,Hebron,2009,NUMBER,SH_SAN_DEFECT,
2010,_T,Hebron,2010,NUMBER,SH_SAN_DEFECT,85.1
2011,_T,Hebron,2011,NUMBER,SH_SAN_DEFECT,
2012,_T,Hebron,2012,NUMBER,SH_SAN_DEFECT,
2013,_T,Hebron,2013,NUMBER,SH_SAN_DEFECT,
2014,_T,Hebron,2014,NUMBER,SH_SAN_DEFECT,98.9
2015,_T,Hebron,2015,NUMBER,SH_SAN_DEFECT,
2017,_T,Hebron,2017,NUMBER,SH_SAN_DEFECT,99.7
0,_T,North Gaza,0,NUMBER,SH_SAN_DEFECT,
2000,_T,North Gaza,2000,NUMBER,SH_SAN_DEFECT,
2002,_T,North Gaza,2002,NUMBER,SH_SAN_DEFECT,
2003,_T,North Gaza,2003,NUMBER,SH_SAN_DEFECT,
2004,_T,North Gaza,2004,NUMBER,SH_SAN_DEFECT,
2005,_T,North Gaza,2005,NUMBER,SH_SAN_DEFECT,
2006,_T,North Gaza,2006,NUMBER,SH_SAN_DEFECT,
2007,_T,North Gaza,2007,NUMBER,SH_SAN_DEFECT,99.9
2008,_T,North Gaza,2008,NUMBER,SH_SAN_DEFECT,
2009,_T,North Gaza,2009,NUMBER,SH_SAN_DEFECT,
2010,_T,North Gaza,2010,NUMBER,SH_SAN_DEFECT,92.8
2011,_T,North Gaza,2011,NUMBER,SH_SAN_DEFECT,
2012,_T,North Gaza,2012,NUMBER,SH_SAN_DEFECT,
2013,_T,North Gaza,2013,NUMBER,SH_SAN_DEFECT,
2014,_T,North Gaza,2014,NUMBER,SH_SAN_DEFECT,97.2
2015,_T,North Gaza,2015,NUMBER,SH_SAN_DEFECT,
2017,_T,North Gaza,2017,NUMBER,SH_SAN_DEFECT,99.7
0,_T,Gaza,0,NUMBER,SH_SAN_DEFECT,
2000,_T,Gaza,2000,NUMBER,SH_SAN_DEFECT,
2002,_T,Gaza,2002,NUMBER,SH_SAN_DEFECT,
2003,_T,Gaza,2003,NUMBER,SH_SAN_DEFECT,
2004,_T,Gaza,2004,NUMBER,SH_SAN_DEFECT,
2005,_T,Gaza,2005,NUMBER,SH_SAN_DEFECT,
2006,_T,Gaza,2006,NUMBER,SH_SAN_DEFECT,
2007,_T,Gaza,2007,NUMBER,SH_SAN_DEFECT,99.9
2008,_T,Gaza,2008,NUMBER,SH_SAN_DEFECT,
2009,_T,Gaza,2009,NUMBER,SH_SAN_DEFECT,
2010,_T,Gaza,2010,NUMBER,SH_SAN_DEFECT,95.6
2011,_T,Gaza,2011,NUMBER,SH_SAN_DEFECT,
2012,_T,Gaza,2012,NUMBER,SH_SAN_DEFECT,
2013,_T,Gaza,2013,NUMBER,SH_SAN_DEFECT,
2014,_T,Gaza,2014,NUMBER,SH_SAN_DEFECT,97.8
2015,_T,Gaza,2015,NUMBER,SH_SAN_DEFECT,
2017,_T,Gaza,2017,NUMBER,SH_SAN_DEFECT,99.9
0,_T,Dier Al-Balah,0,NUMBER,SH_SAN_DEFECT,
2000,_T,Dier Al-Balah,2000,NUMBER,SH_SAN_DEFECT,
2002,_T,Dier Al-Balah,2002,NUMBER,SH_SAN_DEFECT,
2003,_T,Dier Al-Balah,2003,NUMBER,SH_SAN_DEFECT,
2004,_T,Dier Al-Balah,2004,NUMBER,SH_SAN_DEFECT,
2005,_T,Dier Al-Balah,2005,NUMBER,SH_SAN_DEFECT,
2006,_T,Dier Al-Balah,2006,NUMBER,SH_SAN_DEFECT,
2007,_T,Dier Al-Balah,2007,NUMBER,SH_SAN_DEFECT,99.9
2008,_T,Dier Al-Balah,2008,NUMBER,SH_SAN_DEFECT,
2009,_T,Dier Al-Balah,2009,NUMBER,SH_SAN_DEFECT,
2010,_T,Dier Al-Balah,2010,NUMBER,SH_SAN_DEFECT,98.9
2011,_T,Dier Al-Balah,2011,NUMBER,SH_SAN_DEFECT,
2012,_T,Dier Al-Balah,2012,NUMBER,SH_SAN_DEFECT,
2013,_T,Dier Al-Balah,2013,NUMBER,SH_SAN_DEFECT,
2014,_T,Dier Al-Balah,2014,NUMBER,SH_SAN_DEFECT,99.0
2015,_T,Dier Al-Balah,2015,NUMBER,SH_SAN_DEFECT,
2017,_T,Dier Al-Balah,2017,NUMBER,SH_SAN_DEFECT,99.9
0,_T,Khan Yunis,0,NUMBER,SH_SAN_DEFECT,
2000,_T,Khan Yunis,2000,NUMBER,SH_SAN_DEFECT,
2002,_T,Khan Yunis,2002,NUMBER,SH_SAN_DEFECT,
2003,_T,Khan Yunis,2003,NUMBER,SH_SAN_DEFECT,
2004,_T,Khan Yunis,2004,NUMBER,SH_SAN_DEFECT,
2005,_T,Khan Yunis,2005,NUMBER,SH_SAN_DEFECT,
2006,_T,Khan Yunis,2006,NUMBER,SH_SAN_DEFECT,
2007,_T,Khan Yunis,2007,NUMBER,SH_SAN_DEFECT,99.8
2008,_T,Khan Yunis,2008,NUMBER,SH_SAN_DEFECT,
2009,_T,Khan Yunis,2009,NUMBER,SH_SAN_DEFECT,
2010,_T,Khan Yunis,2010,NUMBER,SH_SAN_DEFECT,94.6
2011,_T,Khan Yunis,2011,NUMBER,SH_SAN_DEFECT,
2012,_T,Khan Yunis,2012,NUMBER,SH_SAN_DEFECT,
2013,_T,Khan Yunis,2013,NUMBER,SH_SAN_DEFECT,
2014,_T,Khan Yunis,2014,NUMBER,SH_SAN_DEFECT,99.3
2015,_T,Khan Yunis,2015,NUMBER,SH_SAN_DEFECT,
2017,_T,Khan Yunis,2017,NUMBER,SH_SAN_DEFECT,99.9
0,_T,Rafah,0,NUMBER,SH_SAN_DEFECT,
2000,_T,Rafah,2000,NUMBER,SH_SAN_DEFECT,
2002,_T,Rafah,2002,NUMBER,SH_SAN_DEFECT,
2003,_T,Rafah,2003,NUMBER,SH_SAN_DEFECT,
2004,_T,Rafah,2004,NUMBER,SH_SAN_DEFECT,
2005,_T,Rafah,2005,NUMBER,SH_SAN_DEFECT,
2006,_T,Rafah,2006,NUMBER,SH_SAN_DEFECT,
2007,_T,Rafah,2007,NUMBER,SH_SAN_DEFECT,99.9
2008,_T,Rafah,2008,NUMBER,SH_SAN_DEFECT,
2009,_T,Rafah,2009,NUMBER,SH_SAN_DEFECT,
2010,_T,Rafah,2010,NUMBER,SH_SAN_DEFECT,96.6
2011,_T,Rafah,2011,NUMBER,SH_SAN_DEFECT,
2012,_T,Rafah,2012,NUMBER,SH_SAN_DEFECT,
2013,_T,Rafah,2013,NUMBER,SH_SAN_DEFECT,
2014,_T,Rafah,2014,NUMBER,SH_SAN_DEFECT,99.8
2015,_T,Rafah,2015,NUMBER,SH_SAN_DEFECT,
2017,_T,Rafah,2017,NUMBER,SH_SAN_DEFECT,100.0
0,U,West Bank,0,NUMBER,SH_SAN_DEFECT,
2000,U,West Bank,2000,NUMBER,SH_SAN_DEFECT,
2002,U,West Bank,2002,NUMBER,SH_SAN_DEFECT,
2003,U,West Bank,2003,NUMBER,SH_SAN_DEFECT,
2004,U,West Bank,2004,NUMBER,SH_SAN_DEFECT,
2005,U,West Bank,2005,NUMBER,SH_SAN_DEFECT,
2006,U,West Bank,2006,NUMBER,SH_SAN_DEFECT,
2007,U,West Bank,2007,NUMBER,SH_SAN_DEFECT,
2008,U,West Bank,2008,NUMBER,SH_SAN_DEFECT,
2009,U,West Bank,2009,NUMBER,SH_SAN_DEFECT,
2010,U,West Bank,2010,NUMBER,SH_SAN_DEFECT,
2011,U,West Bank,2011,NUMBER,SH_SAN_DEFECT,
2012,U,West Bank,2012,NUMBER,SH_SAN_DEFECT,
2013,U,West Bank,2013,NUMBER,SH_SAN_DEFECT,
2014,U,West Bank,2014,NUMBER,SH_SAN_DEFECT,
2015,U,West Bank,2015,NUMBER,SH_SAN_DEFECT,
2017,U,West Bank,2017,NUMBER,SH_SAN_DEFECT,
0,U,Gaza Strip,0,NUMBER,SH_SAN_DEFECT,
2000,U,Gaza Strip,2000,NUMBER,SH_SAN_DEFECT,
2002,U,Gaza Strip,2002,NUMBER,SH_SAN_DEFECT,
2003,U,Gaza Strip,2003,NUMBER,SH_SAN_DEFECT,
2004,U,Gaza Strip,2004,NUMBER,SH_SAN_DEFECT,
2005,U,Gaza Strip,2005,NUMBER,SH_SAN_DEFECT,
2006,U,Gaza Strip,2006,NUMBER,SH_SAN_DEFECT,
2007,U,Gaza Strip,2007,NUMBER,SH_SAN_DEFECT,
2008,U,Gaza Strip,2008,NUMBER,SH_SAN_DEFECT,
2009,U,Gaza Strip,2009,NUMBER,SH_SAN_DEFECT,
2010,U,Gaza Strip,2010,NUMBER,SH_SAN_DEFECT,
2011,U,Gaza Strip,2011,NUMBER,SH_SAN_DEFECT,
2012,U,Gaza Strip,2012,NUMBER,SH_SAN_DEFECT,
2013,U,Gaza Strip,2013,NUMBER,SH_SAN_DEFECT,
2014,U,Gaza Strip,2014,NUMBER,SH_SAN_DEFECT,
2015,U,Gaza Strip,2015,NUMBER,SH_SAN_DEFECT,
2017,U,Gaza Strip,2017,NUMBER,SH_SAN_DEFECT,
0,U,PS,0,NUMBER,SH_SAN_DEFECT,
2000,U,PS,2000,NUMBER,SH_SAN_DEFECT,
2002,U,PS,2002,NUMBER,SH_SAN_DEFECT,
2003,U,PS,2003,NUMBER,SH_SAN_DEFECT,
2004,U,PS,2004,NUMBER,SH_SAN_DEFECT,
2005,U,PS,2005,NUMBER,SH_SAN_DEFECT,99.2
2006,U,PS,2006,NUMBER,SH_SAN_DEFECT,99.2
2007,U,PS,2007,NUMBER,SH_SAN_DEFECT,99.5
2008,U,PS,2008,NUMBER,SH_SAN_DEFECT,99.6
2009,U,PS,2009,NUMBER,SH_SAN_DEFECT,
2010,U,PS,2010,NUMBER,SH_SAN_DEFECT,91.3
2011,U,PS,2011,NUMBER,SH_SAN_DEFECT,99.4
2012,U,PS,2012,NUMBER,SH_SAN_DEFECT,100.0
2013,U,PS,2013,NUMBER,SH_SAN_DEFECT,99.7
2014,U,PS,2014,NUMBER,SH_SAN_DEFECT,98.7
2015,U,PS,2015,NUMBER,SH_SAN_DEFECT,99.2
2017,U,PS,2017,NUMBER,SH_SAN_DEFECT,99.8
0,U,Jenin,0,NUMBER,SH_SAN_DEFECT,
2000,U,Jenin,2000,NUMBER,SH_SAN_DEFECT,
2002,U,Jenin,2002,NUMBER,SH_SAN_DEFECT,
2003,U,Jenin,2003,NUMBER,SH_SAN_DEFECT,
