Year,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2003,Nablus,2003,AG_LND_FRST,PT,0.4
2004,Nablus,2004,AG_LND_FRST,PT,0.4
2005,Nablus,2005,AG_LND_FRST,PT,0.4
2006,Nablus,2006,AG_LND_FRST,PT,0.4
2007,Nablus,2007,AG_LND_FRST,PT,0.4
2008,Nablus,2008,AG_LND_FRST,PT,0.4
2009,Nablus,2009,AG_LND_FRST,PT,0.4
2010,Nablus,2010,AG_LND_FRST,PT,0.41
2011,Nablus,2011,AG_LND_FRST,PT,0.41
2000,Qalqiliya,2000,AG_LND_FRST,PT,1.51
2001,Qalqiliya,2001,AG_LND_FRST,PT,1.51
2002,Qalqiliya,2002,AG_LND_FRST,PT,1.51
2003,Qalqiliya,2003,AG_LND_FRST,PT,1.51
2004,Qalqiliya,2004,AG_LND_FRST,PT,1.51
2005,Qalqiliya,2005,AG_LND_FRST,PT,1.51
2006,Qalqiliya,2006,AG_LND_FRST,PT,1.51
2007,Qalqiliya,2007,AG_LND_FRST,PT,1.51
2008,Qalqiliya,2008,AG_LND_FRST,PT,1.51
2009,Qalqiliya,2009,AG_LND_FRST,PT,1.51
2010,Qalqiliya,2010,AG_LND_FRST,PT,1.51
2011,Qalqiliya,2011,AG_LND_FRST,PT,1.51
2000,Salfit,2000,AG_LND_FRST,PT,5.78
2001,Salfit,2001,AG_LND_FRST,PT,5.83
2002,Salfit,2002,AG_LND_FRST,PT,5.83
2003,Salfit,2003,AG_LND_FRST,PT,5.83
2004,Salfit,2004,AG_LND_FRST,PT,5.83
2005,Salfit,2005,AG_LND_FRST,PT,5.83
2006,Salfit,2006,AG_LND_FRST,PT,5.83
2007,Salfit,2007,AG_LND_FRST,PT,5.78
2008,Salfit,2008,AG_LND_FRST,PT,5.78
2009,Salfit,2009,AG_LND_FRST,PT,5.78
2010,Salfit,2010,AG_LND_FRST,PT,5.78
2011,Salfit,2011,AG_LND_FRST,PT,5.78
2000,Ramallah & Al-Bireh,2000,AG_LND_FRST,PT,0.25
2001,Ramallah & Al-Bireh,2001,AG_LND_FRST,PT,0.27
2002,Ramallah & Al-Bireh,2002,AG_LND_FRST,PT,0.27
2003,Ramallah & Al-Bireh,2003,AG_LND_FRST,PT,0.27
2004,Ramallah & Al-Bireh,2004,AG_LND_FRST,PT,0.27
2005,Ramallah & Al-Bireh,2005,AG_LND_FRST,PT,0.27
2006,Ramallah & Al-Bireh,2006,AG_LND_FRST,PT,0.27
2007,Ramallah & Al-Bireh,2007,AG_LND_FRST,PT,0.25
2008,Ramallah & Al-Bireh,2008,AG_LND_FRST,PT,0.25
2009,Ramallah & Al-Bireh,2009,AG_LND_FRST,PT,0.25
2010,Ramallah & Al-Bireh,2010,AG_LND_FRST,PT,0.25
2011,Ramallah & Al-Bireh,2011,AG_LND_FRST,PT,0.25
2000,Jericho & AL Aghwar,2000,AG_LND_FRST,PT,
2001,Jericho & AL Aghwar,2001,AG_LND_FRST,PT,
2002,Jericho & AL Aghwar,2002,AG_LND_FRST,PT,
2003,Jericho & AL Aghwar,2003,AG_LND_FRST,PT,
2004,Jericho & AL Aghwar,2004,AG_LND_FRST,PT,
2005,Jericho & AL Aghwar,2005,AG_LND_FRST,PT,
2006,Jericho & AL Aghwar,2006,AG_LND_FRST,PT,
2007,Jericho & AL Aghwar,2007,AG_LND_FRST,PT,0.59
2008,Jericho & AL Aghwar,2008,AG_LND_FRST,PT,0.59
2009,Jericho & AL Aghwar,2009,AG_LND_FRST,PT,0.59
2010,Jericho & AL Aghwar,2010,AG_LND_FRST,PT,0.59
2011,Jericho & AL Aghwar,2011,AG_LND_FRST,PT,0.59
2000,Jerusalem,2000,AG_LND_FRST,PT,0.58
2001,Jerusalem,2001,AG_LND_FRST,PT,0.58
2002,Jerusalem,2002,AG_LND_FRST,PT,0.58
2003,Jerusalem,2003,AG_LND_FRST,PT,0.58
2004,Jerusalem,2004,AG_LND_FRST,PT,0.58
2005,Jerusalem,2005,AG_LND_FRST,PT,0.58
2006,Jerusalem,2006,AG_LND_FRST,PT,0.58
2007,Jerusalem,2007,AG_LND_FRST,PT,0.58
2008,Jerusalem,2008,AG_LND_FRST,PT,0.58
2009,Jerusalem,2009,AG_LND_FRST,PT,0.58
2010,Jerusalem,2010,AG_LND_FRST,PT,0.58
2011,Jerusalem,2011,AG_LND_FRST,PT,0.58
2000,Bethlehem,2000,AG_LND_FRST,PT,0.21
2001,Bethlehem,2001,AG_LND_FRST,PT,0.21
2002,Bethlehem,2002,AG_LND_FRST,PT,0.21
2003,Bethlehem,2003,AG_LND_FRST,PT,0.21
2004,Bethlehem,2004,AG_LND_FRST,PT,0.21
2005,Bethlehem,2005,AG_LND_FRST,PT,0.21
2006,Bethlehem,2006,AG_LND_FRST,PT,0.21
2007,Bethlehem,2007,AG_LND_FRST,PT,0.21
2008,Bethlehem,2008,AG_LND_FRST,PT,0.21
2009,Bethlehem,2009,AG_LND_FRST,PT,0.21
2010,Bethlehem,2010,AG_LND_FRST,PT,0.21
2011,Bethlehem,2011,AG_LND_FRST,PT,0.21
2000,Hebron,2000,AG_LND_FRST,PT,0.9
2001,Hebron,2001,AG_LND_FRST,PT,0.93
2002,Hebron,2002,AG_LND_FRST,PT,0.93
2003,Hebron,2003,AG_LND_FRST,PT,0.93
2004,Hebron,2004,AG_LND_FRST,PT,0.93
2005,Hebron,2005,AG_LND_FRST,PT,0.93
2006,Hebron,2006,AG_LND_FRST,PT,0.93
2007,Hebron,2007,AG_LND_FRST,PT,0.9
2008,Hebron,2008,AG_LND_FRST,PT,0.9
2009,Hebron,2009,AG_LND_FRST,PT,0.9
2010,Hebron,2010,AG_LND_FRST,PT,0.94
2011,Hebron,2011,AG_LND_FRST,PT,0.94
