Year,SEX,REF_AREA,TIME_DETAIL,SERIES,Value
2009,F,West Bank,2009,SL_TLF_NEET,
2010,F,West Bank,2010,SL_TLF_NEET,
2011,F,West Bank,2011,SL_TLF_NEET,
2012,F,West Bank,2012,SL_TLF_NEET,
2013,F,West Bank,2013,SL_TLF_NEET,
2014,F,West Bank,2014,SL_TLF_NEET,
2015,F,West Bank,2015,SL_TLF_NEET,
2016,F,West Bank,2016,SL_TLF_NEET,
2017,F,West Bank,2017,SL_TLF_NEET,
2000,F,Gaza Strip,2000,SL_TLF_NEET,
2001,F,Gaza Strip,2001,SL_TLF_NEET,
2002,F,Gaza Strip,2002,SL_TLF_NEET,
2003,F,Gaza Strip,2003,SL_TLF_NEET,
2004,F,Gaza Strip,2004,SL_TLF_NEET,
2005,F,Gaza Strip,2005,SL_TLF_NEET,
2006,F,Gaza Strip,2006,SL_TLF_NEET,
2007,F,Gaza Strip,2007,SL_TLF_NEET,
2008,F,Gaza Strip,2008,SL_TLF_NEET,
2009,F,Gaza Strip,2009,SL_TLF_NEET,
2010,F,Gaza Strip,2010,SL_TLF_NEET,
2011,F,Gaza Strip,2011,SL_TLF_NEET,
2012,F,Gaza Strip,2012,SL_TLF_NEET,
2013,F,Gaza Strip,2013,SL_TLF_NEET,
2014,F,Gaza Strip,2014,SL_TLF_NEET,
2015,F,Gaza Strip,2015,SL_TLF_NEET,
2016,F,Gaza Strip,2016,SL_TLF_NEET,
2017,F,Gaza Strip,2017,SL_TLF_NEET,
2000,F,PS,2000,SL_TLF_NEET,47.2
2001,F,PS,2001,SL_TLF_NEET,46.7
2002,F,PS,2002,SL_TLF_NEET,43.3
2003,F,PS,2003,SL_TLF_NEET,39.3
2004,F,PS,2004,SL_TLF_NEET,37.2
2005,F,PS,2005,SL_TLF_NEET,37.4
2006,F,PS,2006,SL_TLF_NEET,35.6
2007,F,PS,2007,SL_TLF_NEET,34.7
2008,F,PS,2008,SL_TLF_NEET,33.2
2009,F,PS,2009,SL_TLF_NEET,33.0
2010,F,PS,2010,SL_TLF_NEET,34.5
2011,F,PS,2011,SL_TLF_NEET,34.0
2012,F,PS,2012,SL_TLF_NEET,37.5
2013,F,PS,2013,SL_TLF_NEET,39.0
2014,F,PS,2014,SL_TLF_NEET,38.3
2015,F,PS,2015,SL_TLF_NEET,38.2
2016,F,PS,2016,SL_TLF_NEET,38.9
2017,F,PS,2017,SL_TLF_NEET,39.0
2000,_T,West Bank,2000,SL_TLF_NEET,32.3
2001,_T,West Bank,2001,SL_TLF_NEET,35.4
2002,_T,West Bank,2002,SL_TLF_NEET,35.5
2003,_T,West Bank,2003,SL_TLF_NEET,32.0
2004,_T,West Bank,2004,SL_TLF_NEET,30.2
2005,_T,West Bank,2005,SL_TLF_NEET,29.1
2006,_T,West Bank,2006,SL_TLF_NEET,27.2
2007,_T,West Bank,2007,SL_TLF_NEET,27.0
2008,_T,West Bank,2008,SL_TLF_NEET,26.3
2009,_T,West Bank,2009,SL_TLF_NEET,26.0
2010,_T,West Bank,2010,SL_TLF_NEET,26.8
2011,_T,West Bank,2011,SL_TLF_NEET,26.0
2012,_T,West Bank,2012,SL_TLF_NEET,27.6
2013,_T,West Bank,2013,SL_TLF_NEET,29.0
2014,_T,West Bank,2014,SL_TLF_NEET,28.1
2015,_T,West Bank,2015,SL_TLF_NEET,29.2
2016,_T,West Bank,2016,SL_TLF_NEET,29.3
2017,_T,West Bank,2017,SL_TLF_NEET,29.1
2000,_T,Gaza Strip,2000,SL_TLF_NEET,34.8
2001,_T,Gaza Strip,2001,SL_TLF_NEET,39.4
2002,_T,Gaza Strip,2002,SL_TLF_NEET,37.2
2003,_T,Gaza Strip,2003,SL_TLF_NEET,32.6
2004,_T,Gaza Strip,2004,SL_TLF_NEET,31.9
2005,_T,Gaza Strip,2005,SL_TLF_NEET,30.9
2006,_T,Gaza Strip,2006,SL_TLF_NEET,32.3
2007,_T,Gaza Strip,2007,SL_TLF_NEET,32.5
2008,_T,Gaza Strip,2008,SL_TLF_NEET,32.7
2009,_T,Gaza Strip,2009,SL_TLF_NEET,31.7
2010,_T,Gaza Strip,2010,SL_TLF_NEET,33.2
2011,_T,Gaza Strip,2011,SL_TLF_NEET,29.8
2012,_T,Gaza Strip,2012,SL_TLF_NEET,33.7
2013,_T,Gaza Strip,2013,SL_TLF_NEET,35.3
2014,_T,Gaza Strip,2014,SL_TLF_NEET,38.5
2015,_T,Gaza Strip,2015,SL_TLF_NEET,36.7
2016,_T,Gaza Strip,2016,SL_TLF_NEET,37.2
2017,_T,Gaza Strip,2017,SL_TLF_NEET,39.4
2000,_T,PS,2000,SL_TLF_NEET,33.3
2001,_T,PS,2001,SL_TLF_NEET,36.9
2002,_T,PS,2002,SL_TLF_NEET,36.1
2003,_T,PS,2003,SL_TLF_NEET,32.2
2004,_T,PS,2004,SL_TLF_NEET,30.8
2005,_T,PS,2005,SL_TLF_NEET,29.8
2006,_T,PS,2006,SL_TLF_NEET,29.1
2007,_T,PS,2007,SL_TLF_NEET,29.1
2008,_T,PS,2008,SL_TLF_NEET,28.8
2009,_T,PS,2009,SL_TLF_NEET,28.2
2010,_T,PS,2010,SL_TLF_NEET,29.3
2011,_T,PS,2011,SL_TLF_NEET,27.5
2012,_T,PS,2012,SL_TLF_NEET,30.0
2013,_T,PS,2013,SL_TLF_NEET,31.4
2014,_T,PS,2014,SL_TLF_NEET,32.2
2015,_T,PS,2015,SL_TLF_NEET,32.2
2016,_T,PS,2016,SL_TLF_NEET,32.4
2017,_T,PS,2017,SL_TLF_NEET,33.2
