Year,URBANISATION,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2010,U,Gaza Strip,N,2010,SH_SAN_DEFECT,PT,
2011,U,Gaza Strip,N,2011,SH_SAN_DEFECT,PT,
2012,U,Gaza Strip,N,2012,SH_SAN_DEFECT,PT,
2013,U,Gaza Strip,N,2013,SH_SAN_DEFECT,PT,
2014,U,Gaza Strip,N,2014,SH_SAN_DEFECT,PT,
2015,U,Gaza Strip,N,2015,SH_SAN_DEFECT,PT,
2017,U,Gaza Strip,N,2017,SH_SAN_DEFECT,PT,
0,U,PS,N,0,SH_SAN_DEFECT,PT,
2000,U,PS,N,2000,SH_SAN_DEFECT,PT,
2002,U,PS,N,2002,SH_SAN_DEFECT,PT,
2003,U,PS,N,2003,SH_SAN_DEFECT,PT,
2004,U,PS,N,2004,SH_SAN_DEFECT,PT,
2005,U,PS,N,2005,SH_SAN_DEFECT,PT,99.2
2006,U,PS,N,2006,SH_SAN_DEFECT,PT,99.2
2007,U,PS,N,2007,SH_SAN_DEFECT,PT,99.5
2008,U,PS,N,2008,SH_SAN_DEFECT,PT,99.6
2009,U,PS,N,2009,SH_SAN_DEFECT,PT,
2010,U,PS,N,2010,SH_SAN_DEFECT,PT,91.3
2011,U,PS,N,2011,SH_SAN_DEFECT,PT,99.4
2012,U,PS,N,2012,SH_SAN_DEFECT,PT,100.0
2013,U,PS,N,2013,SH_SAN_DEFECT,PT,99.7
2014,U,PS,N,2014,SH_SAN_DEFECT,PT,98.7
2015,U,PS,N,2015,SH_SAN_DEFECT,PT,99.2
2017,U,PS,N,2017,SH_SAN_DEFECT,PT,99.8
0,U,Jenin,N,0,SH_SAN_DEFECT,PT,
2000,U,Jenin,N,2000,SH_SAN_DEFECT,PT,
2002,U,Jenin,N,2002,SH_SAN_DEFECT,PT,
2003,U,Jenin,N,2003,SH_SAN_DEFECT,PT,
2004,U,Jenin,N,2004,SH_SAN_DEFECT,PT,
2005,U,Jenin,N,2005,SH_SAN_DEFECT,PT,
2006,U,Jenin,N,2006,SH_SAN_DEFECT,PT,
2007,U,Jenin,N,2007,SH_SAN_DEFECT,PT,
2008,U,Jenin,N,2008,SH_SAN_DEFECT,PT,
2009,U,Jenin,N,2009,SH_SAN_DEFECT,PT,
2010,U,Jenin,N,2010,SH_SAN_DEFECT,PT,
2011,U,Jenin,N,2011,SH_SAN_DEFECT,PT,
2012,U,Jenin,N,2012,SH_SAN_DEFECT,PT,
2013,U,Jenin,N,2013,SH_SAN_DEFECT,PT,
2014,U,Jenin,N,2014,SH_SAN_DEFECT,PT,
