Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2015,PS,N,2015,EG_EGY_CLEAN,PT,93.4
2017,PS,N,2017,EG_EGY_CLEAN,PT,99.2
2001,Jenin,N,2001,EG_EGY_CLEAN,PT,
2003,Jenin,N,2003,EG_EGY_CLEAN,PT,
2004,Jenin,N,2004,EG_EGY_CLEAN,PT,
2005,Jenin,N,2005,EG_EGY_CLEAN,PT,
2006,Jenin,N,2006,EG_EGY_CLEAN,PT,
2007,Jenin,N,2007,EG_EGY_CLEAN,PT,99.8
2008,Jenin,N,2008,EG_EGY_CLEAN,PT,
2009,Jenin,N,2009,EG_EGY_CLEAN,PT,
2010,Jenin,N,2010,EG_EGY_CLEAN,PT,99.4
2011,Jenin,N,2011,EG_EGY_CLEAN,PT,
2013,Jenin,N,2013,EG_EGY_CLEAN,PT,
2014,Jenin,N,2014,EG_EGY_CLEAN,PT,99.8
2015,Jenin,N,2015,EG_EGY_CLEAN,PT,
2017,Jenin,N,2017,EG_EGY_CLEAN,PT,99.8
2001,Tubas & Northern Valleys,N,2001,EG_EGY_CLEAN,PT,
2003,Tubas & Northern Valleys,N,2003,EG_EGY_CLEAN,PT,
2004,Tubas & Northern Valleys,N,2004,EG_EGY_CLEAN,PT,
2005,Tubas & Northern Valleys,N,2005,EG_EGY_CLEAN,PT,
2006,Tubas & Northern Valleys,N,2006,EG_EGY_CLEAN,PT,
2007,Tubas & Northern Valleys,N,2007,EG_EGY_CLEAN,PT,97.7
2008,Tubas & Northern Valleys,N,2008,EG_EGY_CLEAN,PT,
2009,Tubas & Northern Valleys,N,2009,EG_EGY_CLEAN,PT,
2010,Tubas & Northern Valleys,N,2010,EG_EGY_CLEAN,PT,93.0
2011,Tubas & Northern Valleys,N,2011,EG_EGY_CLEAN,PT,
2013,Tubas & Northern Valleys,N,2013,EG_EGY_CLEAN,PT,
2014,Tubas & Northern Valleys,N,2014,EG_EGY_CLEAN,PT,100.0
2015,Tubas & Northern Valleys,N,2015,EG_EGY_CLEAN,PT,
2017,Tubas & Northern Valleys,N,2017,EG_EGY_CLEAN,PT,99.5
2001,Tulkarm,N,2001,EG_EGY_CLEAN,PT,
2003,Tulkarm,N,2003,EG_EGY_CLEAN,PT,
2004,Tulkarm,N,2004,EG_EGY_CLEAN,PT,
2005,Tulkarm,N,2005,EG_EGY_CLEAN,PT,
2006,Tulkarm,N,2006,EG_EGY_CLEAN,PT,
2007,Tulkarm,N,2007,EG_EGY_CLEAN,PT,98.7
2008,Tulkarm,N,2008,EG_EGY_CLEAN,PT,
2009,Tulkarm,N,2009,EG_EGY_CLEAN,PT,
2010,Tulkarm,N,2010,EG_EGY_CLEAN,PT,99.9
2011,Tulkarm,N,2011,EG_EGY_CLEAN,PT,
2013,Tulkarm,N,2013,EG_EGY_CLEAN,PT,
2014,Tulkarm,N,2014,EG_EGY_CLEAN,PT,99.3
2015,Tulkarm,N,2015,EG_EGY_CLEAN,PT,
2017,Tulkarm,N,2017,EG_EGY_CLEAN,PT,99.8
2001,Nablus,N,2001,EG_EGY_CLEAN,PT,
2003,Nablus,N,2003,EG_EGY_CLEAN,PT,
2004,Nablus,N,2004,EG_EGY_CLEAN,PT,
2005,Nablus,N,2005,EG_EGY_CLEAN,PT,
2006,Nablus,N,2006,EG_EGY_CLEAN,PT,
2007,Nablus,N,2007,EG_EGY_CLEAN,PT,99.0
2008,Nablus,N,2008,EG_EGY_CLEAN,PT,
2009,Nablus,N,2009,EG_EGY_CLEAN,PT,
2010,Nablus,N,2010,EG_EGY_CLEAN,PT,99.5
2011,Nablus,N,2011,EG_EGY_CLEAN,PT,
2013,Nablus,N,2013,EG_EGY_CLEAN,PT,
2014,Nablus,N,2014,EG_EGY_CLEAN,PT,99.7
2015,Nablus,N,2015,EG_EGY_CLEAN,PT,
2017,Nablus,N,2017,EG_EGY_CLEAN,PT,99.8
2001,Qalqiliya,N,2001,EG_EGY_CLEAN,PT,
2003,Qalqiliya,N,2003,EG_EGY_CLEAN,PT,
2004,Qalqiliya,N,2004,EG_EGY_CLEAN,PT,
2005,Qalqiliya,N,2005,EG_EGY_CLEAN,PT,
2006,Qalqiliya,N,2006,EG_EGY_CLEAN,PT,
2007,Qalqiliya,N,2007,EG_EGY_CLEAN,PT,98.9
2008,Qalqiliya,N,2008,EG_EGY_CLEAN,PT,
2009,Qalqiliya,N,2009,EG_EGY_CLEAN,PT,
2010,Qalqiliya,N,2010,EG_EGY_CLEAN,PT,100.0
2011,Qalqiliya,N,2011,EG_EGY_CLEAN,PT,
2013,Qalqiliya,N,2013,EG_EGY_CLEAN,PT,
2014,Qalqiliya,N,2014,EG_EGY_CLEAN,PT,99.9
2015,Qalqiliya,N,2015,EG_EGY_CLEAN,PT,
2017,Qalqiliya,N,2017,EG_EGY_CLEAN,PT,99.7
2001,Salfit,N,2001,EG_EGY_CLEAN,PT,
2003,Salfit,N,2003,EG_EGY_CLEAN,PT,
2004,Salfit,N,2004,EG_EGY_CLEAN,PT,
2005,Salfit,N,2005,EG_EGY_CLEAN,PT,
2006,Salfit,N,2006,EG_EGY_CLEAN,PT,
2007,Salfit,N,2007,EG_EGY_CLEAN,PT,98.3
2008,Salfit,N,2008,EG_EGY_CLEAN,PT,
2009,Salfit,N,2009,EG_EGY_CLEAN,PT,
2010,Salfit,N,2010,EG_EGY_CLEAN,PT,100.0
2011,Salfit,N,2011,EG_EGY_CLEAN,PT,
2013,Salfit,N,2013,EG_EGY_CLEAN,PT,
2014,Salfit,N,2014,EG_EGY_CLEAN,PT,100.0
2015,Salfit,N,2015,EG_EGY_CLEAN,PT,
2017,Salfit,N,2017,EG_EGY_CLEAN,PT,99.7
2001,Ramallah & Al-Bireh,N,2001,EG_EGY_CLEAN,PT,
2003,Ramallah & Al-Bireh,N,2003,EG_EGY_CLEAN,PT,
2004,Ramallah & Al-Bireh,N,2004,EG_EGY_CLEAN,PT,
2005,Ramallah & Al-Bireh,N,2005,EG_EGY_CLEAN,PT,
2006,Ramallah & Al-Bireh,N,2006,EG_EGY_CLEAN,PT,
2007,Ramallah & Al-Bireh,N,2007,EG_EGY_CLEAN,PT,98.9
2008,Ramallah & Al-Bireh,N,2008,EG_EGY_CLEAN,PT,
2009,Ramallah & Al-Bireh,N,2009,EG_EGY_CLEAN,PT,
2010,Ramallah & Al-Bireh,N,2010,EG_EGY_CLEAN,PT,99.6
2011,Ramallah & Al-Bireh,N,2011,EG_EGY_CLEAN,PT,
2013,Ramallah & Al-Bireh,N,2013,EG_EGY_CLEAN,PT,
2014,Ramallah & Al-Bireh,N,2014,EG_EGY_CLEAN,PT,99.8
2015,Ramallah & Al-Bireh,N,2015,EG_EGY_CLEAN,PT,
2017,Ramallah & Al-Bireh,N,2017,EG_EGY_CLEAN,PT,99.4
2001,Jericho & AL Aghwar,N,2001,EG_EGY_CLEAN,PT,
2003,Jericho & AL Aghwar,N,2003,EG_EGY_CLEAN,PT,
2004,Jericho & AL Aghwar,N,2004,EG_EGY_CLEAN,PT,
2005,Jericho & AL Aghwar,N,2005,EG_EGY_CLEAN,PT,
2006,Jericho & AL Aghwar,N,2006,EG_EGY_CLEAN,PT,
2007,Jericho & AL Aghwar,N,2007,EG_EGY_CLEAN,PT,94.3
2008,Jericho & AL Aghwar,N,2008,EG_EGY_CLEAN,PT,
2009,Jericho & AL Aghwar,N,2009,EG_EGY_CLEAN,PT,
2010,Jericho & AL Aghwar,N,2010,EG_EGY_CLEAN,PT,100.0
2011,Jericho & AL Aghwar,N,2011,EG_EGY_CLEAN,PT,
2013,Jericho & AL Aghwar,N,2013,EG_EGY_CLEAN,PT,
2014,Jericho & AL Aghwar,N,2014,EG_EGY_CLEAN,PT,96.7
2015,Jericho & AL Aghwar,N,2015,EG_EGY_CLEAN,PT,
2017,Jericho & AL Aghwar,N,2017,EG_EGY_CLEAN,PT,98.0
2001,Jerusalem,N,2001,EG_EGY_CLEAN,PT,
2003,Jerusalem,N,2003,EG_EGY_CLEAN,PT,
2004,Jerusalem,N,2004,EG_EGY_CLEAN,PT,
2005,Jerusalem,N,2005,EG_EGY_CLEAN,PT,
2006,Jerusalem,N,2006,EG_EGY_CLEAN,PT,
2007,Jerusalem,N,2007,EG_EGY_CLEAN,PT,97.8
2008,Jerusalem,N,2008,EG_EGY_CLEAN,PT,
2009,Jerusalem,N,2009,EG_EGY_CLEAN,PT,
2010,Jerusalem,N,2010,EG_EGY_CLEAN,PT,98.9
2011,Jerusalem,N,2011,EG_EGY_CLEAN,PT,
2013,Jerusalem,N,2013,EG_EGY_CLEAN,PT,
2014,Jerusalem,N,2014,EG_EGY_CLEAN,PT,99.6
2015,Jerusalem,N,2015,EG_EGY_CLEAN,PT,
2017,Jerusalem,N,2017,EG_EGY_CLEAN,PT,98.0
2001,Bethlehem,N,2001,EG_EGY_CLEAN,PT,
2003,Bethlehem,N,2003,EG_EGY_CLEAN,PT,
2004,Bethlehem,N,2004,EG_EGY_CLEAN,PT,
2005,Bethlehem,N,2005,EG_EGY_CLEAN,PT,
2006,Bethlehem,N,2006,EG_EGY_CLEAN,PT,
2007,Bethlehem,N,2007,EG_EGY_CLEAN,PT,98.8
2008,Bethlehem,N,2008,EG_EGY_CLEAN,PT,
2009,Bethlehem,N,2009,EG_EGY_CLEAN,PT,
2010,Bethlehem,N,2010,EG_EGY_CLEAN,PT,97.1
2011,Bethlehem,N,2011,EG_EGY_CLEAN,PT,
2013,Bethlehem,N,2013,EG_EGY_CLEAN,PT,
2014,Bethlehem,N,2014,EG_EGY_CLEAN,PT,98.5
2015,Bethlehem,N,2015,EG_EGY_CLEAN,PT,
2017,Bethlehem,N,2017,EG_EGY_CLEAN,PT,99.5
2001,Hebron,N,2001,EG_EGY_CLEAN,PT,
2003,Hebron,N,2003,EG_EGY_CLEAN,PT,
2004,Hebron,N,2004,EG_EGY_CLEAN,PT,
2005,Hebron,N,2005,EG_EGY_CLEAN,PT,
2006,Hebron,N,2006,EG_EGY_CLEAN,PT,
2007,Hebron,N,2007,EG_EGY_CLEAN,PT,97.3
2008,Hebron,N,2008,EG_EGY_CLEAN,PT,
2009,Hebron,N,2009,EG_EGY_CLEAN,PT,
2010,Hebron,N,2010,EG_EGY_CLEAN,PT,98.6
2011,Hebron,N,2011,EG_EGY_CLEAN,PT,
2013,Hebron,N,2013,EG_EGY_CLEAN,PT,
2014,Hebron,N,2014,EG_EGY_CLEAN,PT,98.3
2015,Hebron,N,2015,EG_EGY_CLEAN,PT,
2017,Hebron,N,2017,EG_EGY_CLEAN,PT,99.6
2001,North Gaza,N,2001,EG_EGY_CLEAN,PT,
2003,North Gaza,N,2003,EG_EGY_CLEAN,PT,
2004,North Gaza,N,2004,EG_EGY_CLEAN,PT,
2005,North Gaza,N,2005,EG_EGY_CLEAN,PT,
2006,North Gaza,N,2006,EG_EGY_CLEAN,PT,
2007,North Gaza,N,2007,EG_EGY_CLEAN,PT,98.8
2008,North Gaza,N,2008,EG_EGY_CLEAN,PT,
2009,North Gaza,N,2009,EG_EGY_CLEAN,PT,
2010,North Gaza,N,2010,EG_EGY_CLEAN,PT,99.2
2011,North Gaza,N,2011,EG_EGY_CLEAN,PT,
2013,North Gaza,N,2013,EG_EGY_CLEAN,PT,
2014,North Gaza,N,2014,EG_EGY_CLEAN,PT,95.1
2015,North Gaza,N,2015,EG_EGY_CLEAN,PT,
2017,North Gaza,N,2017,EG_EGY_CLEAN,PT,98.3
2001,Gaza,N,2001,EG_EGY_CLEAN,PT,98.1
2003,Gaza,N,2003,EG_EGY_CLEAN,PT,98.2
2004,Gaza,N,2004,EG_EGY_CLEAN,PT,99.9
2005,Gaza,N,2005,EG_EGY_CLEAN,PT,98.7
2006,Gaza,N,2006,EG_EGY_CLEAN,PT,96.1
2007,Gaza,N,2007,EG_EGY_CLEAN,PT,99.2
2008,Gaza,N,2008,EG_EGY_CLEAN,PT,75.2
2009,Gaza,N,2009,EG_EGY_CLEAN,PT,99.6
2010,Gaza,N,2010,EG_EGY_CLEAN,PT,98.8
2011,Gaza,N,2011,EG_EGY_CLEAN,PT,93.5
2013,Gaza,N,2013,EG_EGY_CLEAN,PT,99.1
2014,Gaza,N,2014,EG_EGY_CLEAN,PT,96.6
2015,Gaza,N,2015,EG_EGY_CLEAN,PT,82.5
2017,Gaza,N,2017,EG_EGY_CLEAN,PT,99.0
2001,Dier Al-Balah,N,2001,EG_EGY_CLEAN,PT,
2003,Dier Al-Balah,N,2003,EG_EGY_CLEAN,PT,
2004,Dier Al-Balah,N,2004,EG_EGY_CLEAN,PT,
2005,Dier Al-Balah,N,2005,EG_EGY_CLEAN,PT,
2006,Dier Al-Balah,N,2006,EG_EGY_CLEAN,PT,
2007,Dier Al-Balah,N,2007,EG_EGY_CLEAN,PT,97.7
2008,Dier Al-Balah,N,2008,EG_EGY_CLEAN,PT,
2009,Dier Al-Balah,N,2009,EG_EGY_CLEAN,PT,
2010,Dier Al-Balah,N,2010,EG_EGY_CLEAN,PT,98.4
2011,Dier Al-Balah,N,2011,EG_EGY_CLEAN,PT,
2013,Dier Al-Balah,N,2013,EG_EGY_CLEAN,PT,
2014,Dier Al-Balah,N,2014,EG_EGY_CLEAN,PT,94.8
2015,Dier Al-Balah,N,2015,EG_EGY_CLEAN,PT,
2017,Dier Al-Balah,N,2017,EG_EGY_CLEAN,PT,98.3
2001,Khan Yunis,N,2001,EG_EGY_CLEAN,PT,
2003,Khan Yunis,N,2003,EG_EGY_CLEAN,PT,
2004,Khan Yunis,N,2004,EG_EGY_CLEAN,PT,
2005,Khan Yunis,N,2005,EG_EGY_CLEAN,PT,
2006,Khan Yunis,N,2006,EG_EGY_CLEAN,PT,
2007,Khan Yunis,N,2007,EG_EGY_CLEAN,PT,98.1
2008,Khan Yunis,N,2008,EG_EGY_CLEAN,PT,
2009,Khan Yunis,N,2009,EG_EGY_CLEAN,PT,
2010,Khan Yunis,N,2010,EG_EGY_CLEAN,PT,99.4
2011,Khan Yunis,N,2011,EG_EGY_CLEAN,PT,
2013,Khan Yunis,N,2013,EG_EGY_CLEAN,PT,
2014,Khan Yunis,N,2014,EG_EGY_CLEAN,PT,96.3
2015,Khan Yunis,N,2015,EG_EGY_CLEAN,PT,
2017,Khan Yunis,N,2017,EG_EGY_CLEAN,PT,98.9
2001,Rafah,N,2001,EG_EGY_CLEAN,PT,
2003,Rafah,N,2003,EG_EGY_CLEAN,PT,
2004,Rafah,N,2004,EG_EGY_CLEAN,PT,
2005,Rafah,N,2005,EG_EGY_CLEAN,PT,
2006,Rafah,N,2006,EG_EGY_CLEAN,PT,
2007,Rafah,N,2007,EG_EGY_CLEAN,PT,98.1
2008,Rafah,N,2008,EG_EGY_CLEAN,PT,
2009,Rafah,N,2009,EG_EGY_CLEAN,PT,
2010,Rafah,N,2010,EG_EGY_CLEAN,PT,98.6
2011,Rafah,N,2011,EG_EGY_CLEAN,PT,
2013,Rafah,N,2013,EG_EGY_CLEAN,PT,
2014,Rafah,N,2014,EG_EGY_CLEAN,PT,96.6
2015,Rafah,N,2015,EG_EGY_CLEAN,PT,
2017,Rafah,N,2017,EG_EGY_CLEAN,PT,99.6
