Year,SEX,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2009,F,West Bank,2009,,NUMBER,
2010,F,West Bank,2010,,NUMBER,
2011,F,West Bank,2011,,NUMBER,
2017,F,West Bank,2017,,NUMBER,
2009,F,Gaza Strip,2009,,NUMBER,
2010,F,Gaza Strip,2010,,NUMBER,
2011,F,Gaza Strip,2011,,NUMBER,
2017,F,Gaza Strip,2017,,NUMBER,
2009,F,PS,2009,,NUMBER,26.4
2010,F,PS,2010,,NUMBER,26.2
2011,F,PS,2011,,NUMBER,26.2
2017,F,PS,2017,,NUMBER,29.7
2009,F,Jenin,2009,,NUMBER,
2010,F,Jenin,2010,,NUMBER,
2011,F,Jenin,2011,,NUMBER,
2017,F,Jenin,2017,,NUMBER,
2009,F,Tubas & Northern Valleys,2009,,NUMBER,
2010,F,Tubas & Northern Valleys,2010,,NUMBER,
2011,F,Tubas & Northern Valleys,2011,,NUMBER,
2017,F,Tubas & Northern Valleys,2017,,NUMBER,
2009,F,Tulkarm,2009,,NUMBER,
2010,F,Tulkarm,2010,,NUMBER,
2011,F,Tulkarm,2011,,NUMBER,
2017,F,Tulkarm,2017,,NUMBER,
2009,F,Nablus,2009,,NUMBER,
2010,F,Nablus,2010,,NUMBER,
2011,F,Nablus,2011,,NUMBER,
2017,F,Nablus,2017,,NUMBER,
2009,F,Qalqiliya,2009,,NUMBER,
2010,F,Qalqiliya,2010,,NUMBER,
2011,F,Qalqiliya,2011,,NUMBER,
2017,F,Qalqiliya,2017,,NUMBER,
2009,F,Salfit,2009,,NUMBER,
2010,F,Salfit,2010,,NUMBER,
2011,F,Salfit,2011,,NUMBER,
2017,F,Salfit,2017,,NUMBER,
2009,F,Ramallah & Al-Bireh,2009,,NUMBER,
2010,F,Ramallah & Al-Bireh,2010,,NUMBER,
2011,F,Ramallah & Al-Bireh,2011,,NUMBER,
2017,F,Ramallah & Al-Bireh,2017,,NUMBER,
2009,F,Jericho & AL Aghwar,2009,,NUMBER,
2010,F,Jericho & AL Aghwar,2010,,NUMBER,
2011,F,Jericho & AL Aghwar,2011,,NUMBER,
2017,F,Jericho & AL Aghwar,2017,,NUMBER,
2009,F,Bethlehem,2009,,NUMBER,
2010,F,Bethlehem,2010,,NUMBER,
2011,F,Bethlehem,2011,,NUMBER,
2017,F,Bethlehem,2017,,NUMBER,
2009,F,Hebron,2009,,NUMBER,
2010,F,Hebron,2010,,NUMBER,
2011,F,Hebron,2011,,NUMBER,
2017,F,Hebron,2017,,NUMBER,
2009,F,North Gaza,2009,,NUMBER,
2010,F,North Gaza,2010,,NUMBER,
2011,F,North Gaza,2011,,NUMBER,
2017,F,North Gaza,2017,,NUMBER,
2009,F,Gaza,2009,,NUMBER,
2010,F,Gaza,2010,,NUMBER,
2011,F,Gaza,2011,,NUMBER,
2017,F,Gaza,2017,,NUMBER,
2009,F,Dier Al-Balah,2009,,NUMBER,
2010,F,Dier Al-Balah,2010,,NUMBER,
2011,F,Dier Al-Balah,2011,,NUMBER,
2017,F,Dier Al-Balah,2017,,NUMBER,
2009,F,Khan Yunis,2009,,NUMBER,
2010,F,Khan Yunis,2010,,NUMBER,
2011,F,Khan Yunis,2011,,NUMBER,
2017,F,Khan Yunis,2017,,NUMBER,
2009,F,Rafah,2009,,NUMBER,
2010,F,Rafah,2010,,NUMBER,
2011,F,Rafah,2011,,NUMBER,
2017,F,Rafah,2017,,NUMBER,
2009,_T,West Bank,2009,,NUMBER,19.4
2010,_T,West Bank,2010,,NUMBER,18.3
2011,_T,West Bank,2011,,NUMBER,17.8
2017,_T,West Bank,2017,,NUMBER,13.9
2009,_T,Gaza Strip,2009,,NUMBER,38.3
2010,_T,Gaza Strip,2010,,NUMBER,38.0
2011,_T,Gaza Strip,2011,,NUMBER,38.8
2017,_T,Gaza Strip,2017,,NUMBER,53.0
2009,_T,PS,2009,,NUMBER,26.2
2010,_T,PS,2010,,NUMBER,25.7
2011,_T,PS,2011,,NUMBER,25.8
2017,_T,PS,2017,,NUMBER,29.2
2009,_T,Jenin,2009,,NUMBER,
2010,_T,Jenin,2010,,NUMBER,
2011,_T,Jenin,2011,,NUMBER,
2017,_T,Jenin,2017,,NUMBER,11.4
2009,_T,Tubas & Northern Valleys,2009,,NUMBER,
2010,_T,Tubas & Northern Valleys,2010,,NUMBER,
2011,_T,Tubas & Northern Valleys,2011,,NUMBER,
2017,_T,Tubas & Northern Valleys,2017,,NUMBER,15.4
2009,_T,Tulkarm,2009,,NUMBER,
2010,_T,Tulkarm,2010,,NUMBER,
2011,_T,Tulkarm,2011,,NUMBER,
2017,_T,Tulkarm,2017,,NUMBER,15.5
2009,_T,Nablus,2009,,NUMBER,
2010,_T,Nablus,2010,,NUMBER,
2011,_T,Nablus,2011,,NUMBER,
2017,_T,Nablus,2017,,NUMBER,16.6
2009,_T,Qalqiliya,2009,,NUMBER,
2010,_T,Qalqiliya,2010,,NUMBER,
2011,_T,Qalqiliya,2011,,NUMBER,
2017,_T,Qalqiliya,2017,,NUMBER,20.7
2009,_T,Salfit,2009,,NUMBER,
2010,_T,Salfit,2010,,NUMBER,
2011,_T,Salfit,2011,,NUMBER,
2017,_T,Salfit,2017,,NUMBER,14.1
2009,_T,Ramallah & Al-Bireh,2009,,NUMBER,
2010,_T,Ramallah & Al-Bireh,2010,,NUMBER,
2011,_T,Ramallah & Al-Bireh,2011,,NUMBER,
2017,_T,Ramallah & Al-Bireh,2017,,NUMBER,9.7
2009,_T,Jericho & AL Aghwar,2009,,NUMBER,
2010,_T,Jericho & AL Aghwar,2010,,NUMBER,
2011,_T,Jericho & AL Aghwar,2011,,NUMBER,
2017,_T,Jericho & AL Aghwar,2017,,NUMBER,15.7
2009,_T,Bethlehem,2009,,NUMBER,
2010,_T,Bethlehem,2010,,NUMBER,
2011,_T,Bethlehem,2011,,NUMBER,
2017,_T,Bethlehem,2017,,NUMBER,9.4
2009,_T,Hebron,2009,,NUMBER,
2010,_T,Hebron,2010,,NUMBER,
2011,_T,Hebron,2011,,NUMBER,
2017,_T,Hebron,2017,,NUMBER,20.3
2009,_T,North Gaza,2009,,NUMBER,
2010,_T,North Gaza,2010,,NUMBER,
2011,_T,North Gaza,2011,,NUMBER,
2017,_T,North Gaza,2017,,NUMBER,51.2
2009,_T,Gaza,2009,,NUMBER,
2010,_T,Gaza,2010,,NUMBER,
2011,_T,Gaza,2011,,NUMBER,
2017,_T,Gaza,2017,,NUMBER,51.6
2009,_T,Dier Al-Balah,2009,,NUMBER,
2010,_T,Dier Al-Balah,2010,,NUMBER,
2011,_T,Dier Al-Balah,2011,,NUMBER,
2017,_T,Dier Al-Balah,2017,,NUMBER,55.6
2009,_T,Khan Yunis,2009,,NUMBER,
2010,_T,Khan Yunis,2010,,NUMBER,
2011,_T,Khan Yunis,2011,,NUMBER,
2017,_T,Khan Yunis,2017,,NUMBER,54.2
2009,_T,Rafah,2009,,NUMBER,
2010,_T,Rafah,2010,,NUMBER,
2011,_T,Rafah,2011,,NUMBER,
2017,_T,Rafah,2017,,NUMBER,55.7
