Year,URBANISATION,AREA,TIME_DETAIL,Value
2007,Rural,Gaza Strip,2007,
2008,Rural,Gaza Strip,2008,
2009,Rural,Gaza Strip,2009,
2010,Rural,Gaza Strip,2010,
2011,Rural,Gaza Strip,2011,
2012,Rural,Gaza Strip,2012,
2013,Rural,Gaza Strip,2013,
2015,Rural,Gaza Strip,2015,
2017,Rural,Gaza Strip,2017,
2001,Rural,Palestine,2001,88.9
2003,Rural,Palestine,2003,99.1
2004,Rural,Palestine,2004,98.8
2005,Rural,Palestine,2005,99.1
2006,Rural,Palestine,2006,98.8
2007,Rural,Palestine,2007,
2008,Rural,Palestine,2008,99.5
2009,Rural,Palestine,2009,99.9
2010,Rural,Palestine,2010,
2011,Rural,Palestine,2011,
2012,Rural,Palestine,2012,
2013,Rural,Palestine,2013,
2015,Rural,Palestine,2015,
2017,Rural,Palestine,2017,99.8
2001,Camp,West Bank,2001,
2003,Camp,West Bank,2003,
2004,Camp,West Bank,2004,
2005,Camp,West Bank,2005,
2006,Camp,West Bank,2006,
2007,Camp,West Bank,2007,
2008,Camp,West Bank,2008,
2009,Camp,West Bank,2009,
2010,Camp,West Bank,2010,
2011,Camp,West Bank,2011,
2012,Camp,West Bank,2012,
2013,Camp,West Bank,2013,
2015,Camp,West Bank,2015,
2017,Camp,West Bank,2017,
2001,Camp,Gaza Strip,2001,
2003,Camp,Gaza Strip,2003,
2004,Camp,Gaza Strip,2004,
2005,Camp,Gaza Strip,2005,
2006,Camp,Gaza Strip,2006,
2007,Camp,Gaza Strip,2007,
2008,Camp,Gaza Strip,2008,
2009,Camp,Gaza Strip,2009,
2010,Camp,Gaza Strip,2010,
2011,Camp,Gaza Strip,2011,
2012,Camp,Gaza Strip,2012,
2013,Camp,Gaza Strip,2013,
2015,Camp,Gaza Strip,2015,
2017,Camp,Gaza Strip,2017,
2001,Camp,Palestine,2001,99.9
2003,Camp,Palestine,2003,100.0
2004,Camp,Palestine,2004,99.8
2005,Camp,Palestine,2005,99.6
2006,Camp,Palestine,2006,99.7
2007,Camp,Palestine,2007,
2008,Camp,Palestine,2008,99.6
2009,Camp,Palestine,2009,99.9
2010,Camp,Palestine,2010,
2011,Camp,Palestine,2011,
2012,Camp,Palestine,2012,
2013,Camp,Palestine,2013,
2015,Camp,Palestine,2015,
2017,Camp,Palestine,2017,100.0
