Year,URBANISATION,AREA,Value
2000,Rural,Gaza,
2002,Rural,Gaza,
2003,Rural,Gaza,
2004,Rural,Gaza,
2005,Rural,Gaza,
2006,Rural,Gaza,
2007,Rural,Gaza,
2008,Rural,Gaza,
2009,Rural,Gaza,
2010,Rural,Gaza,
2011,Rural,Gaza,
2012,Rural,Gaza,
2013,Rural,Gaza,
2014,Rural,Gaza,
2015,Rural,Gaza,
2017,Rural,Gaza,
0,Rural,Dier Al-Balah,
2000,Rural,Dier Al-Balah,
2002,Rural,Dier Al-Balah,
2003,Rural,Dier Al-Balah,
2004,Rural,Dier Al-Balah,
2005,Rural,Dier Al-Balah,
2006,Rural,Dier Al-Balah,
2007,Rural,Dier Al-Balah,
2008,Rural,Dier Al-Balah,
2009,Rural,Dier Al-Balah,
2010,Rural,Dier Al-Balah,
2011,Rural,Dier Al-Balah,
2012,Rural,Dier Al-Balah,
2013,Rural,Dier Al-Balah,
2014,Rural,Dier Al-Balah,
2015,Rural,Dier Al-Balah,
2017,Rural,Dier Al-Balah,
0,Rural,Khan Yunis,
2000,Rural,Khan Yunis,
2002,Rural,Khan Yunis,
2003,Rural,Khan Yunis,
2004,Rural,Khan Yunis,
2005,Rural,Khan Yunis,
2006,Rural,Khan Yunis,
2007,Rural,Khan Yunis,
2008,Rural,Khan Yunis,
2009,Rural,Khan Yunis,
2010,Rural,Khan Yunis,
2011,Rural,Khan Yunis,
2012,Rural,Khan Yunis,
2013,Rural,Khan Yunis,
2014,Rural,Khan Yunis,
2015,Rural,Khan Yunis,
2017,Rural,Khan Yunis,
0,Rural,Rafah,
2000,Rural,Rafah,
2002,Rural,Rafah,
2003,Rural,Rafah,
2004,Rural,Rafah,
2005,Rural,Rafah,
2006,Rural,Rafah,
2007,Rural,Rafah,
2008,Rural,Rafah,
2009,Rural,Rafah,
2010,Rural,Rafah,
2011,Rural,Rafah,
2012,Rural,Rafah,
2013,Rural,Rafah,
2014,Rural,Rafah,
2015,Rural,Rafah,
2017,Rural,Rafah,
0,Camp,West Bank,
2000,Camp,West Bank,
2002,Camp,West Bank,
2003,Camp,West Bank,
2004,Camp,West Bank,
2005,Camp,West Bank,
2006,Camp,West Bank,
2007,Camp,West Bank,
2008,Camp,West Bank,
2009,Camp,West Bank,
2010,Camp,West Bank,
2011,Camp,West Bank,
2012,Camp,West Bank,
2013,Camp,West Bank,
2014,Camp,West Bank,
2015,Camp,West Bank,
2017,Camp,West Bank,
0,Camp,Gaza Strip,
2000,Camp,Gaza Strip,
2002,Camp,Gaza Strip,
2003,Camp,Gaza Strip,
2004,Camp,Gaza Strip,
2005,Camp,Gaza Strip,
2006,Camp,Gaza Strip,
2007,Camp,Gaza Strip,
2008,Camp,Gaza Strip,
2009,Camp,Gaza Strip,
2010,Camp,Gaza Strip,
2011,Camp,Gaza Strip,
2012,Camp,Gaza Strip,
2013,Camp,Gaza Strip,
2014,Camp,Gaza Strip,
2015,Camp,Gaza Strip,
2017,Camp,Gaza Strip,
0,Camp,Palestine,
2000,Camp,Palestine,
2002,Camp,Palestine,
2003,Camp,Palestine,
2004,Camp,Palestine,
2005,Camp,Palestine,99.8
2006,Camp,Palestine,100.0
2007,Camp,Palestine,100.0
2008,Camp,Palestine,99.4
2009,Camp,Palestine,
2010,Camp,Palestine,92.4
2011,Camp,Palestine,99.9
2012,Camp,Palestine,100.0
2013,Camp,Palestine,100.0
2014,Camp,Palestine,98.3
2015,Camp,Palestine,100.0
2017,Camp,Palestine,99.9
0,Camp,Jenin,
2000,Camp,Jenin,
2002,Camp,Jenin,
2003,Camp,Jenin,
2004,Camp,Jenin,
2005,Camp,Jenin,
2006,Camp,Jenin,
2007,Camp,Jenin,
2008,Camp,Jenin,
2009,Camp,Jenin,
2010,Camp,Jenin,
2011,Camp,Jenin,
2012,Camp,Jenin,
2013,Camp,Jenin,
2014,Camp,Jenin,
2015,Camp,Jenin,
2017,Camp,Jenin,
0,Camp,Tubas & Northern Valleys,
2000,Camp,Tubas & Northern Valleys,
2002,Camp,Tubas & Northern Valleys,
2003,Camp,Tubas & Northern Valleys,
2004,Camp,Tubas & Northern Valleys,
2005,Camp,Tubas & Northern Valleys,
2006,Camp,Tubas & Northern Valleys,
2007,Camp,Tubas & Northern Valleys,
2008,Camp,Tubas & Northern Valleys,
2009,Camp,Tubas & Northern Valleys,
2010,Camp,Tubas & Northern Valleys,
2011,Camp,Tubas & Northern Valleys,
2012,Camp,Tubas & Northern Valleys,
2013,Camp,Tubas & Northern Valleys,
2014,Camp,Tubas & Northern Valleys,
2015,Camp,Tubas & Northern Valleys,
2017,Camp,Tubas & Northern Valleys,
0,Camp,Tulkarm,
2000,Camp,Tulkarm,
2002,Camp,Tulkarm,
2003,Camp,Tulkarm,
2004,Camp,Tulkarm,
2005,Camp,Tulkarm,
2006,Camp,Tulkarm,
2007,Camp,Tulkarm,
2008,Camp,Tulkarm,
2009,Camp,Tulkarm,
2010,Camp,Tulkarm,
2011,Camp,Tulkarm,
2012,Camp,Tulkarm,
2013,Camp,Tulkarm,
2014,Camp,Tulkarm,
2015,Camp,Tulkarm,
2017,Camp,Tulkarm,
0,Camp,Nablus,
2000,Camp,Nablus,
2002,Camp,Nablus,
2003,Camp,Nablus,
2004,Camp,Nablus,
2005,Camp,Nablus,
2006,Camp,Nablus,
2007,Camp,Nablus,
2008,Camp,Nablus,
2009,Camp,Nablus,
2010,Camp,Nablus,
2011,Camp,Nablus,
2012,Camp,Nablus,
2013,Camp,Nablus,
2014,Camp,Nablus,
2015,Camp,Nablus,
2017,Camp,Nablus,
0,Camp,Qalqiliya,
2000,Camp,Qalqiliya,
2002,Camp,Qalqiliya,
2003,Camp,Qalqiliya,
2004,Camp,Qalqiliya,
2005,Camp,Qalqiliya,
2006,Camp,Qalqiliya,
2007,Camp,Qalqiliya,
2008,Camp,Qalqiliya,
2009,Camp,Qalqiliya,
2010,Camp,Qalqiliya,
2011,Camp,Qalqiliya,
2012,Camp,Qalqiliya,
2013,Camp,Qalqiliya,
2014,Camp,Qalqiliya,
2015,Camp,Qalqiliya,
2017,Camp,Qalqiliya,
0,Camp,Salfit,
2000,Camp,Salfit,
2002,Camp,Salfit,
2003,Camp,Salfit,
2004,Camp,Salfit,
2005,Camp,Salfit,
2006,Camp,Salfit,
2007,Camp,Salfit,
2008,Camp,Salfit,
2009,Camp,Salfit,
2010,Camp,Salfit,
2011,Camp,Salfit,
2012,Camp,Salfit,
2013,Camp,Salfit,
2014,Camp,Salfit,
2015,Camp,Salfit,
2017,Camp,Salfit,
0,Camp,Ramallah & Al-Bireh,
2000,Camp,Ramallah & Al-Bireh,
2002,Camp,Ramallah & Al-Bireh,
2003,Camp,Ramallah & Al-Bireh,
2004,Camp,Ramallah & Al-Bireh,
2005,Camp,Ramallah & Al-Bireh,
2006,Camp,Ramallah & Al-Bireh,
2007,Camp,Ramallah & Al-Bireh,
2008,Camp,Ramallah & Al-Bireh,
2009,Camp,Ramallah & Al-Bireh,
2010,Camp,Ramallah & Al-Bireh,
2011,Camp,Ramallah & Al-Bireh,
2012,Camp,Ramallah & Al-Bireh,
2013,Camp,Ramallah & Al-Bireh,
2014,Camp,Ramallah & Al-Bireh,
2015,Camp,Ramallah & Al-Bireh,
2017,Camp,Ramallah & Al-Bireh,
0,Camp,Jericho & AL Aghwar,
2000,Camp,Jericho & AL Aghwar,
2002,Camp,Jericho & AL Aghwar,
2003,Camp,Jericho & AL Aghwar,
2004,Camp,Jericho & AL Aghwar,
2005,Camp,Jericho & AL Aghwar,
2006,Camp,Jericho & AL Aghwar,
2007,Camp,Jericho & AL Aghwar,
2008,Camp,Jericho & AL Aghwar,
2009,Camp,Jericho & AL Aghwar,
2010,Camp,Jericho & AL Aghwar,
2011,Camp,Jericho & AL Aghwar,
2012,Camp,Jericho & AL Aghwar,
2013,Camp,Jericho & AL Aghwar,
2014,Camp,Jericho & AL Aghwar,
2015,Camp,Jericho & AL Aghwar,
2017,Camp,Jericho & AL Aghwar,
0,Camp,Jerusalem,
2000,Camp,Jerusalem,
2002,Camp,Jerusalem,
2003,Camp,Jerusalem,
2004,Camp,Jerusalem,
2005,Camp,Jerusalem,
2006,Camp,Jerusalem,
2007,Camp,Jerusalem,
2008,Camp,Jerusalem,
2009,Camp,Jerusalem,
2010,Camp,Jerusalem,
2011,Camp,Jerusalem,
2012,Camp,Jerusalem,
2013,Camp,Jerusalem,
2014,Camp,Jerusalem,
2015,Camp,Jerusalem,
2017,Camp,Jerusalem,
0,Camp,Bethlehem,
2000,Camp,Bethlehem,
2002,Camp,Bethlehem,
2003,Camp,Bethlehem,
2004,Camp,Bethlehem,
2005,Camp,Bethlehem,
2006,Camp,Bethlehem,
2007,Camp,Bethlehem,
2008,Camp,Bethlehem,
2009,Camp,Bethlehem,
2010,Camp,Bethlehem,
2011,Camp,Bethlehem,
2012,Camp,Bethlehem,
2013,Camp,Bethlehem,
2014,Camp,Bethlehem,
2015,Camp,Bethlehem,
2017,Camp,Bethlehem,
0,Camp,Hebron,
2000,Camp,Hebron,
2002,Camp,Hebron,
2003,Camp,Hebron,
2004,Camp,Hebron,
2005,Camp,Hebron,
2006,Camp,Hebron,
2007,Camp,Hebron,
2008,Camp,Hebron,
2009,Camp,Hebron,
2010,Camp,Hebron,
2011,Camp,Hebron,
2012,Camp,Hebron,
2013,Camp,Hebron,
2014,Camp,Hebron,
2015,Camp,Hebron,
2017,Camp,Hebron,
0,Camp,North Gaza,
2000,Camp,North Gaza,
2002,Camp,North Gaza,
2003,Camp,North Gaza,
2004,Camp,North Gaza,
2005,Camp,North Gaza,
2006,Camp,North Gaza,
2007,Camp,North Gaza,
2008,Camp,North Gaza,
2009,Camp,North Gaza,
2010,Camp,North Gaza,
2011,Camp,North Gaza,
2012,Camp,North Gaza,
2013,Camp,North Gaza,
2014,Camp,North Gaza,
2015,Camp,North Gaza,
2017,Camp,North Gaza,
0,Camp,Gaza,
2000,Camp,Gaza,
2002,Camp,Gaza,
2003,Camp,Gaza,
2004,Camp,Gaza,
2005,Camp,Gaza,
2006,Camp,Gaza,
2007,Camp,Gaza,
2008,Camp,Gaza,
2009,Camp,Gaza,
2010,Camp,Gaza,
2011,Camp,Gaza,
2012,Camp,Gaza,
2013,Camp,Gaza,
2014,Camp,Gaza,
2015,Camp,Gaza,
2017,Camp,Gaza,
0,Camp,Dier Al-Balah,
2000,Camp,Dier Al-Balah,
2002,Camp,Dier Al-Balah,
2003,Camp,Dier Al-Balah,
2004,Camp,Dier Al-Balah,
2005,Camp,Dier Al-Balah,
2006,Camp,Dier Al-Balah,
2007,Camp,Dier Al-Balah,
2008,Camp,Dier Al-Balah,
2009,Camp,Dier Al-Balah,
2010,Camp,Dier Al-Balah,
2011,Camp,Dier Al-Balah,
2012,Camp,Dier Al-Balah,
2013,Camp,Dier Al-Balah,
2014,Camp,Dier Al-Balah,
2015,Camp,Dier Al-Balah,
2017,Camp,Dier Al-Balah,
0,Camp,Khan Yunis,
2000,Camp,Khan Yunis,
2002,Camp,Khan Yunis,
2003,Camp,Khan Yunis,
2004,Camp,Khan Yunis,
2005,Camp,Khan Yunis,
2006,Camp,Khan Yunis,
2007,Camp,Khan Yunis,
2008,Camp,Khan Yunis,
2009,Camp,Khan Yunis,
2010,Camp,Khan Yunis,
2011,Camp,Khan Yunis,
2012,Camp,Khan Yunis,
2013,Camp,Khan Yunis,
2014,Camp,Khan Yunis,
2015,Camp,Khan Yunis,
2017,Camp,Khan Yunis,
0,Camp,Rafah,
2000,Camp,Rafah,
2002,Camp,Rafah,
2003,Camp,Rafah,
2004,Camp,Rafah,
2005,Camp,Rafah,
2006,Camp,Rafah,
2007,Camp,Rafah,
2008,Camp,Rafah,
2009,Camp,Rafah,
2010,Camp,Rafah,
2011,Camp,Rafah,
2012,Camp,Rafah,
2013,Camp,Rafah,
2014,Camp,Rafah,
2015,Camp,Rafah,
2017,Camp,Rafah,
