Year,URBANISATION,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2010,U,Bethlehem,2010,SH_H2O_SAFE,,
2014,U,Bethlehem,2014,SH_H2O_SAFE,,
2017,U,Bethlehem,2017,SH_H2O_SAFE,,
2010,U,Hebron,2010,SH_H2O_SAFE,,
2014,U,Hebron,2014,SH_H2O_SAFE,,
2017,U,Hebron,2017,SH_H2O_SAFE,,
2010,U,North Gaza,2010,SH_H2O_SAFE,,
2014,U,North Gaza,2014,SH_H2O_SAFE,,
2017,U,North Gaza,2017,SH_H2O_SAFE,,
2010,U,Gaza,2010,SH_H2O_SAFE,,
2014,U,Gaza,2014,SH_H2O_SAFE,,
2017,U,Gaza,2017,SH_H2O_SAFE,,
2010,U,Dier Al-Balah,2010,SH_H2O_SAFE,,
2014,U,Dier Al-Balah,2014,SH_H2O_SAFE,,
2017,U,Dier Al-Balah,2017,SH_H2O_SAFE,,
2010,U,Khan Yunis,2010,SH_H2O_SAFE,,
2014,U,Khan Yunis,2014,SH_H2O_SAFE,,
2017,U,Khan Yunis,2017,SH_H2O_SAFE,,
2010,U,Rafah,2010,SH_H2O_SAFE,,
2014,U,Rafah,2014,SH_H2O_SAFE,,
2017,U,Rafah,2017,SH_H2O_SAFE,,
2010,R,West Bank,2010,SH_H2O_SAFE,,
2014,R,West Bank,2014,SH_H2O_SAFE,,
2017,R,West Bank,2017,SH_H2O_SAFE,,
2010,R,Gaza Strip,2010,SH_H2O_SAFE,,
2014,R,Gaza Strip,2014,SH_H2O_SAFE,,
2017,R,Gaza Strip,2017,SH_H2O_SAFE,,
2010,R,PS,2010,SH_H2O_SAFE,,79.6
2014,R,PS,2014,SH_H2O_SAFE,,86.9
2017,R,PS,2017,SH_H2O_SAFE,,93.6
2010,R,Jenin,2010,SH_H2O_SAFE,,
2014,R,Jenin,2014,SH_H2O_SAFE,,
2017,R,Jenin,2017,SH_H2O_SAFE,,
2010,R,Tubas & Northern Valleys,2010,SH_H2O_SAFE,,
2014,R,Tubas & Northern Valleys,2014,SH_H2O_SAFE,,
2017,R,Tubas & Northern Valleys,2017,SH_H2O_SAFE,,
2010,R,Tulkarm,2010,SH_H2O_SAFE,,
2014,R,Tulkarm,2014,SH_H2O_SAFE,,
2017,R,Tulkarm,2017,SH_H2O_SAFE,,
2010,R,Nablus,2010,SH_H2O_SAFE,,
2014,R,Nablus,2014,SH_H2O_SAFE,,
2017,R,Nablus,2017,SH_H2O_SAFE,,
2010,R,Qalqiliya,2010,SH_H2O_SAFE,,
2014,R,Qalqiliya,2014,SH_H2O_SAFE,,
2017,R,Qalqiliya,2017,SH_H2O_SAFE,,
2010,R,Salfit,2010,SH_H2O_SAFE,,
2014,R,Salfit,2014,SH_H2O_SAFE,,
2017,R,Salfit,2017,SH_H2O_SAFE,,
2010,R,Ramallah & Al-Bireh,2010,SH_H2O_SAFE,,
2014,R,Ramallah & Al-Bireh,2014,SH_H2O_SAFE,,
2017,R,Ramallah & Al-Bireh,2017,SH_H2O_SAFE,,
2010,R,Jericho & AL Aghwar,2010,SH_H2O_SAFE,,
2014,R,Jericho & AL Aghwar,2014,SH_H2O_SAFE,,
2017,R,Jericho & AL Aghwar,2017,SH_H2O_SAFE,,
2010,R,Jerusalem,2010,SH_H2O_SAFE,,
2014,R,Jerusalem,2014,SH_H2O_SAFE,,
2017,R,Jerusalem,2017,SH_H2O_SAFE,,
2010,R,Bethlehem,2010,SH_H2O_SAFE,,
2014,R,Bethlehem,2014,SH_H2O_SAFE,,
2017,R,Bethlehem,2017,SH_H2O_SAFE,,
2010,R,Hebron,2010,SH_H2O_SAFE,,
2014,R,Hebron,2014,SH_H2O_SAFE,,
2017,R,Hebron,2017,SH_H2O_SAFE,,
2010,R,North Gaza,2010,SH_H2O_SAFE,,
2014,R,North Gaza,2014,SH_H2O_SAFE,,
2017,R,North Gaza,2017,SH_H2O_SAFE,,
2010,R,Gaza,2010,SH_H2O_SAFE,,
2014,R,Gaza,2014,SH_H2O_SAFE,,
2017,R,Gaza,2017,SH_H2O_SAFE,,
2010,R,Dier Al-Balah,2010,SH_H2O_SAFE,,
2014,R,Dier Al-Balah,2014,SH_H2O_SAFE,,
2017,R,Dier Al-Balah,2017,SH_H2O_SAFE,,
2010,R,Khan Yunis,2010,SH_H2O_SAFE,,
2014,R,Khan Yunis,2014,SH_H2O_SAFE,,
2017,R,Khan Yunis,2017,SH_H2O_SAFE,,
2010,R,Rafah,2010,SH_H2O_SAFE,,
2014,R,Rafah,2014,SH_H2O_SAFE,,
2017,R,Rafah,2017,SH_H2O_SAFE,,
2010,Camp,West Bank,2010,SH_H2O_SAFE,,
2014,Camp,West Bank,2014,SH_H2O_SAFE,,
2017,Camp,West Bank,2017,SH_H2O_SAFE,,
2010,Camp,Gaza Strip,2010,SH_H2O_SAFE,,
2014,Camp,Gaza Strip,2014,SH_H2O_SAFE,,
2017,Camp,Gaza Strip,2017,SH_H2O_SAFE,,
2010,Camp,PS,2010,SH_H2O_SAFE,,47.1
2014,Camp,PS,2014,SH_H2O_SAFE,,42.3
2017,Camp,PS,2017,SH_H2O_SAFE,,40.9
2010,Camp,Jenin,2010,SH_H2O_SAFE,,
2014,Camp,Jenin,2014,SH_H2O_SAFE,,
2017,Camp,Jenin,2017,SH_H2O_SAFE,,
2010,Camp,Tubas & Northern Valleys,2010,SH_H2O_SAFE,,
2014,Camp,Tubas & Northern Valleys,2014,SH_H2O_SAFE,,
2017,Camp,Tubas & Northern Valleys,2017,SH_H2O_SAFE,,
2010,Camp,Tulkarm,2010,SH_H2O_SAFE,,
2014,Camp,Tulkarm,2014,SH_H2O_SAFE,,
2017,Camp,Tulkarm,2017,SH_H2O_SAFE,,
2010,Camp,Nablus,2010,SH_H2O_SAFE,,
2014,Camp,Nablus,2014,SH_H2O_SAFE,,
2017,Camp,Nablus,2017,SH_H2O_SAFE,,
2010,Camp,Qalqiliya,2010,SH_H2O_SAFE,,
2014,Camp,Qalqiliya,2014,SH_H2O_SAFE,,
2017,Camp,Qalqiliya,2017,SH_H2O_SAFE,,
2010,Camp,Salfit,2010,SH_H2O_SAFE,,
2014,Camp,Salfit,2014,SH_H2O_SAFE,,
2017,Camp,Salfit,2017,SH_H2O_SAFE,,
2010,Camp,Ramallah & Al-Bireh,2010,SH_H2O_SAFE,,
2014,Camp,Ramallah & Al-Bireh,2014,SH_H2O_SAFE,,
2017,Camp,Ramallah & Al-Bireh,2017,SH_H2O_SAFE,,
2010,Camp,Jericho & AL Aghwar,2010,SH_H2O_SAFE,,
2014,Camp,Jericho & AL Aghwar,2014,SH_H2O_SAFE,,
2017,Camp,Jericho & AL Aghwar,2017,SH_H2O_SAFE,,
2010,Camp,Jerusalem,2010,SH_H2O_SAFE,,
2014,Camp,Jerusalem,2014,SH_H2O_SAFE,,
2017,Camp,Jerusalem,2017,SH_H2O_SAFE,,
2010,Camp,Bethlehem,2010,SH_H2O_SAFE,,
2014,Camp,Bethlehem,2014,SH_H2O_SAFE,,
2017,Camp,Bethlehem,2017,SH_H2O_SAFE,,
2010,Camp,Hebron,2010,SH_H2O_SAFE,,
2014,Camp,Hebron,2014,SH_H2O_SAFE,,
2017,Camp,Hebron,2017,SH_H2O_SAFE,,
2010,Camp,North Gaza,2010,SH_H2O_SAFE,,
2014,Camp,North Gaza,2014,SH_H2O_SAFE,,
2017,Camp,North Gaza,2017,SH_H2O_SAFE,,
2010,Camp,Gaza,2010,SH_H2O_SAFE,,
2014,Camp,Gaza,2014,SH_H2O_SAFE,,
2017,Camp,Gaza,2017,SH_H2O_SAFE,,
2010,Camp,Dier Al-Balah,2010,SH_H2O_SAFE,,
2014,Camp,Dier Al-Balah,2014,SH_H2O_SAFE,,
2017,Camp,Dier Al-Balah,2017,SH_H2O_SAFE,,
2010,Camp,Khan Yunis,2010,SH_H2O_SAFE,,
2014,Camp,Khan Yunis,2014,SH_H2O_SAFE,,
2017,Camp,Khan Yunis,2017,SH_H2O_SAFE,,
2010,Camp,Rafah,2010,SH_H2O_SAFE,,
2014,Camp,Rafah,2014,SH_H2O_SAFE,,
2017,Camp,Rafah,2017,SH_H2O_SAFE,,
