Year,URBANISATION,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2004,U,PS,N,2004,EG_ACS_ELEC,PT,99.7
2005,U,PS,N,2005,EG_ACS_ELEC,PT,99.8
2006,U,PS,N,2006,EG_ACS_ELEC,PT,99.7
2007,U,PS,N,2007,EG_ACS_ELEC,PT,
2008,U,PS,N,2008,EG_ACS_ELEC,PT,99.9
2009,U,PS,N,2009,EG_ACS_ELEC,PT,99.9
2010,U,PS,N,2010,EG_ACS_ELEC,PT,
2011,U,PS,N,2011,EG_ACS_ELEC,PT,
2012,U,PS,N,2012,EG_ACS_ELEC,PT,
2013,U,PS,N,2013,EG_ACS_ELEC,PT,
2015,U,PS,N,2015,EG_ACS_ELEC,PT,
2017,U,PS,N,2017,EG_ACS_ELEC,PT,99.9
2001,R,West Bank,N,2001,EG_ACS_ELEC,PT,
2003,R,West Bank,N,2003,EG_ACS_ELEC,PT,
2004,R,West Bank,N,2004,EG_ACS_ELEC,PT,
2005,R,West Bank,N,2005,EG_ACS_ELEC,PT,
2006,R,West Bank,N,2006,EG_ACS_ELEC,PT,
2007,R,West Bank,N,2007,EG_ACS_ELEC,PT,
2008,R,West Bank,N,2008,EG_ACS_ELEC,PT,
2009,R,West Bank,N,2009,EG_ACS_ELEC,PT,
2010,R,West Bank,N,2010,EG_ACS_ELEC,PT,
2011,R,West Bank,N,2011,EG_ACS_ELEC,PT,
2012,R,West Bank,N,2012,EG_ACS_ELEC,PT,
2013,R,West Bank,N,2013,EG_ACS_ELEC,PT,
2015,R,West Bank,N,2015,EG_ACS_ELEC,PT,
2017,R,West Bank,N,2017,EG_ACS_ELEC,PT,
2001,R,Gaza Strip,N,2001,EG_ACS_ELEC,PT,
2003,R,Gaza Strip,N,2003,EG_ACS_ELEC,PT,
2004,R,Gaza Strip,N,2004,EG_ACS_ELEC,PT,
2005,R,Gaza Strip,N,2005,EG_ACS_ELEC,PT,
2006,R,Gaza Strip,N,2006,EG_ACS_ELEC,PT,
2007,R,Gaza Strip,N,2007,EG_ACS_ELEC,PT,
2008,R,Gaza Strip,N,2008,EG_ACS_ELEC,PT,
2009,R,Gaza Strip,N,2009,EG_ACS_ELEC,PT,
2010,R,Gaza Strip,N,2010,EG_ACS_ELEC,PT,
2011,R,Gaza Strip,N,2011,EG_ACS_ELEC,PT,
2012,R,Gaza Strip,N,2012,EG_ACS_ELEC,PT,
2013,R,Gaza Strip,N,2013,EG_ACS_ELEC,PT,
2015,R,Gaza Strip,N,2015,EG_ACS_ELEC,PT,
2017,R,Gaza Strip,N,2017,EG_ACS_ELEC,PT,
2001,R,PS,N,2001,EG_ACS_ELEC,PT,88.9
2003,R,PS,N,2003,EG_ACS_ELEC,PT,99.1
2004,R,PS,N,2004,EG_ACS_ELEC,PT,98.8
2005,R,PS,N,2005,EG_ACS_ELEC,PT,99.1
2006,R,PS,N,2006,EG_ACS_ELEC,PT,98.8
2007,R,PS,N,2007,EG_ACS_ELEC,PT,
2008,R,PS,N,2008,EG_ACS_ELEC,PT,99.5
2009,R,PS,N,2009,EG_ACS_ELEC,PT,99.9
2010,R,PS,N,2010,EG_ACS_ELEC,PT,
2011,R,PS,N,2011,EG_ACS_ELEC,PT,
2012,R,PS,N,2012,EG_ACS_ELEC,PT,
2013,R,PS,N,2013,EG_ACS_ELEC,PT,
2015,R,PS,N,2015,EG_ACS_ELEC,PT,
2017,R,PS,N,2017,EG_ACS_ELEC,PT,99.8
2001,Camp,West Bank,N,2001,EG_ACS_ELEC,PT,
2003,Camp,West Bank,N,2003,EG_ACS_ELEC,PT,
2004,Camp,West Bank,N,2004,EG_ACS_ELEC,PT,
2005,Camp,West Bank,N,2005,EG_ACS_ELEC,PT,
2006,Camp,West Bank,N,2006,EG_ACS_ELEC,PT,
2007,Camp,West Bank,N,2007,EG_ACS_ELEC,PT,
2008,Camp,West Bank,N,2008,EG_ACS_ELEC,PT,
2009,Camp,West Bank,N,2009,EG_ACS_ELEC,PT,
2010,Camp,West Bank,N,2010,EG_ACS_ELEC,PT,
2011,Camp,West Bank,N,2011,EG_ACS_ELEC,PT,
2012,Camp,West Bank,N,2012,EG_ACS_ELEC,PT,
2013,Camp,West Bank,N,2013,EG_ACS_ELEC,PT,
2015,Camp,West Bank,N,2015,EG_ACS_ELEC,PT,
2017,Camp,West Bank,N,2017,EG_ACS_ELEC,PT,
2001,Camp,Gaza Strip,N,2001,EG_ACS_ELEC,PT,
2003,Camp,Gaza Strip,N,2003,EG_ACS_ELEC,PT,
2004,Camp,Gaza Strip,N,2004,EG_ACS_ELEC,PT,
2005,Camp,Gaza Strip,N,2005,EG_ACS_ELEC,PT,
2006,Camp,Gaza Strip,N,2006,EG_ACS_ELEC,PT,
2007,Camp,Gaza Strip,N,2007,EG_ACS_ELEC,PT,
2008,Camp,Gaza Strip,N,2008,EG_ACS_ELEC,PT,
2009,Camp,Gaza Strip,N,2009,EG_ACS_ELEC,PT,
2010,Camp,Gaza Strip,N,2010,EG_ACS_ELEC,PT,
2011,Camp,Gaza Strip,N,2011,EG_ACS_ELEC,PT,
2012,Camp,Gaza Strip,N,2012,EG_ACS_ELEC,PT,
2013,Camp,Gaza Strip,N,2013,EG_ACS_ELEC,PT,
2015,Camp,Gaza Strip,N,2015,EG_ACS_ELEC,PT,
2017,Camp,Gaza Strip,N,2017,EG_ACS_ELEC,PT,
2001,Camp,PS,N,2001,EG_ACS_ELEC,PT,99.9
2003,Camp,PS,N,2003,EG_ACS_ELEC,PT,100.0
2004,Camp,PS,N,2004,EG_ACS_ELEC,PT,99.8
2005,Camp,PS,N,2005,EG_ACS_ELEC,PT,99.6
2006,Camp,PS,N,2006,EG_ACS_ELEC,PT,99.7
2007,Camp,PS,N,2007,EG_ACS_ELEC,PT,
2008,Camp,PS,N,2008,EG_ACS_ELEC,PT,99.6
2009,Camp,PS,N,2009,EG_ACS_ELEC,PT,99.9
2010,Camp,PS,N,2010,EG_ACS_ELEC,PT,
2011,Camp,PS,N,2011,EG_ACS_ELEC,PT,
2012,Camp,PS,N,2012,EG_ACS_ELEC,PT,
2013,Camp,PS,N,2013,EG_ACS_ELEC,PT,
2015,Camp,PS,N,2015,EG_ACS_ELEC,PT,
2017,Camp,PS,N,2017,EG_ACS_ELEC,PT,100.0
