Value,Disaggregation combinations using this value,Number of indicators
SH_SAN_DEFECT,1,1
SH_SAN_HNDWSH,1,1
SH_STA_BRTC,3,1
SH_STA_MALR,1,1
SH_STA_MORT,1,1
SH_STA_SCIDE,1,1
SH_STA_SCIDEN,1,1
SH_STA_STNT,1,1
SH_STA_TRAF,1,1
SH_STA_TRAFN,1,1
SH_STA_WAST,1,1
SH_TBS_INCD,1,1
SI_POV_DAY1,1,1
SI_POV_NAHC,7,1
SI_POV_NMPI,3,1
SI_RMT_COST,1,1
SL_CPA_YEMP,1,1
SL_DOM_TSPDCW,3,1
SL_EMP_EARN,30,1
SL_EMP_FTLINJUR,3,1
SL_EMP_INJUR,3,1
SL_EMP_PCAP,1,1
SL_TLF_CHLDEA,3,1
SL_TLF_MANF,1,1
SL_TLF_NEET,2,1
SL_TLF_UEM,3,1
SL_TLF_UEMDIS,1,1
SN_STA_OVWGT,1,1
SP_DYN_MRBF15,1,1
SP_DYN_MRBF18,1,1
SP_LGL_LNDDOC,2,1
SP_ROD_R2KM,1,1
ST_GDP_ZS,1,1
VC_DSR_AFFCT,3,3
VC_DSR_EFDN,1,1
VC_DSR_HFDN,1,1
VC_DSR_LSGP,1,1
VC_DSR_MORT,3,3
VC_HTF_DETV,1,1
VC_IHR_PSRC,1,1
VC_IHR_PSRCN,1,1
VC_PRS_UNSNT,1,1
VC_PRS_UNSNTN,1,1
VC_SNS_WALN,1,1
VC_VAW_DIST,1,1
VC_VAW_NONMARR,1,1
VC_VAW_PHYV,1,1
VC_VAW_PSYV,1,1
VC_VAW_SEXV,1,1
